Name|Level|Type|SubType|Size|Speed|Abilities|Skills|Feats|Traits|Combat|SavingThrows|Description|Details|
Afrovenator|12th|Animal||Huge|50 ft.|Str +5, Dex +3, Con +3, Int -4, Wis +2, Cha +0|Notice!+19!15 ranks, +2 Wis, +2 bonus;Stealth!+9!6 ranks, +3 Dex|Attack Focus! (bite),;Double Strike!,;Improved Grab!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Run!,;Snatch!,;Tough| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+10!(-2 size, +9 base, +3 Dex) (<b>+11</b> with bite);+11!(bite), or <b>+8</b> (claws);20/--!(19 base, -2 size, +3 Dex);+3|+10!+4 size, +3 Con, +2 natural +1 <a href="Feats.php?Name=Tough">Tough</a>;+11!+8 base, +3 Con;+11!+8 base, +3 Dex;+6!+4 base, +2 Wis|An afrovenator is a large predator with especially fearsome front claws that it uses to capture its prey. These creatures travel in family groups and chase down any likely-looking prey with their swift pace. More lightly built than other large predatory dinosaurs, afrovenators are speedy and always hungry.|<b>Skills:</b> An afrovenator has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p><b>Snatch:</b> An afrovenator can use its <a href="Feats.php?Name=Snatch">Snatch</a> ability with its claws, targetting creatures up to two sizes smaller than itself.</p><p><b> <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to two sizes smaller; +8 bludgeoning damage and +3 acid damage per round; gizzard Toughness save +9; an afrovenator's gizzard can hold 2 Medium, 8 Small, 32 Tiny, or 128 Diminutive or smaller opponents.|
Allosaurus|15th|Animal||Huge|40 ft.|Str +7, Dex +1, Con +4, Int -4, Wis +1, Cha +0|Notice!+21!18 ranks, +1 Wis, +2 bonus|Improved Grab!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Run!,;Tough! (x3),;Track| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+10!(-2 size, +11 base, +1 Dex);+14!(bite);20/--!(21 base, -2 size, +1 Dex);+1|+13!+4 size, +4 Con, +2 natural, +3 <a href="Feats.php?Name=Tough">Tough</a>;+13!+9 base, +4 Con;+10!+9 base, +1 Dex;+6!+5 base, +1 Wis|</p><p>An allosaurus is somewhat smaller than a <a href="Creatures.php?Name=Tyrannosaurus">tyrannosaurus</a>, but is similar in form, standing on two powerful hind legs and a long tail extending out behind it for balance. These creatures are usually some 25 feet long and weigh one and a half tons. Allosauruses typically hunt in packs of up to ten individuals, chasing down their prey before delivering a killing blow with their massive jaws.|<b>Skills:</b> An allosaurus has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p><b> <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to two sizes smaller; +13 bludgeoning damage and +5 acid damage per round; gizzard Toughness save +9; an allosaurus' gizzard can hold 2 Medium, 8 Small, 32 Tiny, or 128 Diminutive or smaller opponents.|
Ancestral Guardian|11th|Spirit||Large|30 ft.|Str +7, Dex +0, Con --, Int +2, Wis +2, Cha +3|Intimidate!+17!14 ranks, +3 Cha;Knowledge (local)!+16!14 ranks, +2 Int;Notice!+16!14 ranks, +2 Wis;Sense Motive!+16!14 ranks, +2 Wis;Stealth!+12!14 ranks, +0 Dex, -2 size|Attack Focus!(<a href="EquipmentWeapons.php?Name=Maul">maul</a>),;Defensive Attack!,;Improved Disarm!,;Improved Initiative|Heavy Step, Soul Pool, Gather Soul, Soul Driven, other guardian abilities (see below)|+11!(+11 base, +0 Dex, -1 size, +1 <a href="Feats.php?Name=Attack%20Focus">Attack Focus</a>);+11!(+4 <a href="EquipmentWeapons.php?Name=Maul">maul</a>, +7 Str);20/26!(+11 base, +0 Dex, -1 size/+11 base, +7 Str, -1 size);+4!(+0 Dex, +4 <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a>)|+12!(+0 Con, +12 natural armor);+7!+7 base, +0 Con;+7!+7 base, +0 Dex;+9!+7 base, +2 Wis|Appearing as immense constructs, these impressive figures are actually spirits powered by the souls of the venerated deceased of the village or community they have been bound to protect. Different ancestral guardians appear differently, but they are all set with numerous precious-looking stones. They do not obey commands but instead act of their own accord to defend the community whose souls they bear.|<b>Heavy Step:</b> Ancestral guardians only move three times their speed when they run.</p><p><b>Soul Pool:</b> An ancestral guardian relies on the crystallized essences of the dead for its power. Each soul contributes points to a soul pool that the ancestral guardian can draw upon in order to use some of its special abilities. An encountered ancestral guardian will have a number of souls in its possession equal to one or two times its level. The maximum number of souls an ancestral guardian may posses is four times its level. Using points from the pool does not destroy the souls, but it exhausts their energy for a time. Points used return at a rate of one point per day.</p><p><b>Soul Driven:</b> An ancestral guardian's soul pool fuels not only its special abilities, but also its ability to animate itself. Should an ancestral guardian deplete its soul pool entirely, it weakens itself to a point that it can do nothing more than take a single <a href="CombatActions.php?Time=Move">move action</a> each round. This state persists until the ancestral guardian has recovered at least one point to its soul pool.</p><p><b>Gather Soul:</b> Any member of the ancestral guardian's protected community reduced to <a href="PlayingConditions.php?Name=Dying">dying</a> within 60 feet of the ancestral guardian has its soul drawn into the guardian's soul pool. Each soul adds a number of points to the ancestral guardian's soul pool equal to the dying character's level. If these points exceed the ancestral guardian's maximum, the soul cannot be drawn into the pool.</p><p><b>Retaliatory Strike:</b> An ancestral guardian gets a +2 bonus on attack rolls against any creature that struck them in the previous round. Even an ancestral guardian that has expended its entire soul pool may make an attack against a creature that struck it last round.</p><p><b>Special Powers:</b> In addition to the abilities described above, ancestral guardians will have one or more of the following special abilities:</p><p><i>Guard:</i> As a reaction, an ancestral guardian can choose to absorb any damage dealt to an adjacent creature or object from its community. Guardians cannot block any damage that is not opposed by a Toughness save. By expending 1 point from its soul pool, the ancestral guardian takes half the damage dealt to the creature or object it is guarding, and the creature or object takes half as well. If the ancestral guardian expends 2 points from its soul pool, it takes the full damage and the guarded creature or object takes none.</p><p><i>Improved Retaliatory Strike:</i> An ancestral spirit can expend a point from its soul pool to gain an additional +2 bonus to its retaliatory strike attack, and to gain a +1 bonus on damage dealt by that attack.</p><p><i>Ancestral Wrath:</i> Some ancestral guardians may use supernatural <a href="Powers.php">powers</a>. They use these powers with power ranks equal to their level. Each power requires the listed number of points from their soul pool: <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a> (2), <a href="Powers.php?Name=Psychic%20Blast">Psychic Blast</a> (4), <a href="Powers.php?Name=Truth%20Reading">Truth Reading</a> (2), <a href="Powers.php?Name=Ward">Ward</a> (4).|
Ankylosaurus|16th|Animal||Huge|15 ft.|Str +7, Dex -1, Con +6, Int -5, Wis -1, Cha +0|Notice!+22!19 ranks, -1 Wis, +4 bonus|Awesome Blow!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x5)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Trample">Trample</a>|+9!(-2 size, +12 base, -1 Dex);+16!(tail sweep);19/--!(22 base, -2 size, -1 Dex);-1|+25!+4 size, +6 Con, +10 natural, +5 <a href="Feats.php?Name=Tough">Tough</a>;+16!+10 base, +6 Con;+9!+10 base, -1 Dex;+4!+5 base, -1 Wis|An ankylosaurus is an immense armoured dinosaur with short legs and a tail ending in a heavy bone knob that it uses as its primary defense. The animal is usually around 25 feet long and weighs 20,000 pounds. The back of an ankylosaurus is heavily armoured, making it almost impervious to any sort of attack.</p><p>Ankylosauruses are slow-moving herbivores and use their fearsome tail weapons on anything that looks threatening to them.|<b>Skills:</b> An ankylosaurus has a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p><b> <a href="CreaturesTraits.php?Name=Trample">Trample</a>:</b> Damage +20, Difficulty 25 Reflex Save for half damage. The save Difficulty is Strength-based.|
Apatosaurus|12th|Animal||Gargantuan|20 ft.|Str +8, Dex -1, Con +6, Int -5, Wis -1, Cha +0|Notice!+16!15 ranks, -1 Wis, +2 bonus|Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x5)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Trample">Trample</a>, Tail Whip|+4!(-4 size, +9 base, -1 Dex);+11!(tail lash);14/--!(19 base, -4 size, -1 Dex;-1)|+19!+6 size, +6 Con, +2 natural +5 <a href="Feats.php?Name=Tough">Tough</a>;+14!+8 base, +6 Con;+7!+8 base, -1 Dex;+3!+4 base, -1 Wis|An apatosaurus is an enormous long-necked, long-tailed quadraped up to 80 feet in length, and weighing well over 20 tons. These creatures are normally peaceful herbivores, but will not hesitate to use the Tail Whip ability if they feel threatened, or use their tail directly as a weapon. They will unhesitatingly <a href="CreaturesTraits.php?Name=Trample">Trample</a> any creature Large size or smaller.</p><p>Larger creatures (of Colossal size) are found of this type, as are smaller. As well, these animals are sometimes found with neck spikes, spinal sails and tail clubs (like the ankylosaurus).|<b>Skills:</b> An apatosaurus has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p><b>Tail Whip:</b> As a standard action an apatosaurus can cause its long whip-like tail to lash with such speed that it generates a deafening boom. All creatures within 30 feet of the apatosaurus' tail must make a DC 22 Fortitude save or be stunned for one round. The Fortitude save is Strength-based.</p><p><b> <a href="CreaturesTraits.php?Name=Trample">Trample</a>:</b> Damage +22, Difficulty 24 Reflex Save for half damage. The save Difficulty is Strength-based.|
Ape|4th|Animal||Medium|30 ft., climb 30 ft.|Str +3, Dex +2, Con +2, Int -4, Wis +1, Cha -2|Climb!+11!0 ranks, +3 Str, +8 bonus;Notice!+11!7 ranks, +1 Wis, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+5!(+3 base, +2 Dex);+5!(unarmed or bite);15/--!(13 base, +2 Dex);+2|+3!+2 Con,+1 <a href="Feats.php?Name=Tough">Tough</a>;+6!+4 base, +2 Con;+6!+4 base, +2 Dex;+3!+2 base, +1 Wis|These powerful omnivores live in small troupes in mountain forests. The stat block above represents a typical such individual, but many may be either larger or smaller than these.|<b>Skills:</b> Apes have a +8 racial bonus on <a href="Skills.php?Name=Climb">Climb</a> checks and can always choose to take 10 on <a href="Skills.php?Name=Climb">Climb</a> checks, even if rushed or threatened.|
Argorth|13th|Aberration||Huge|40 ft., burrow 20 ft., climb 20 ft., swim 40ft.|Str +11, Dex +3, Con +7, Int -1, Wis +3, Cha +5|Climb!+19!0 ranks, +11 Str, +8 bonus;Notice!+18!15 ranks, +3 Wis;Swim!+19!0 ranks, +11 Str, +8 bonus|Attack Focus! (bite),;Cleave!,;Diehard!,;Double Strike!,;Endurance!,;Improved Grab|<a href="CreaturesTraits.php?Name=Blindsight">Blindsight</a>, <a href="CreaturesTraits.php?Name=Constrict">Constrict</a>, Death Throes, Fearful Shriek, Ground Slam, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+13! Bite(+9 base, +3 Dex, +1 <a href="Feats.php?Name=Attack%20Focus">Attack Focus</a>) and <b>Tail Slam +12</b> (+9 base, +3 Dex);+17!(bite) and <b>+11</b> (tail);23/--!(19 base, +3 Dex;+3|+7!+7 Con;+11!+4 base, +7 Con;+7!+4 base, +3 Dex;+11!+8 base, +3 Wis|Nearly 30 feet tall, these marauding worms with buzzsaw mouths and lashing tails know only rage and slaughter. Unnatural disasters, argorths have more in common with hurricanes and earthquakes than the beasts of the natural world.|<b>Skills:</b> An argorth has a +8 racial bonus on <a href="Skills.php?Name=Climb">Climb</a> and can always choose to take 10 on a <a href="Skills.php?Name=Climb">Climb</a> check even when rushed or threatened. It also has a +8 racial bonus on any <a href="Skills.php?Name=Swim">Swim</a> check to perform some special action or avoid a hazard. It can always take 10 on a <a href="Skills.php?Name=Swim">Swim</a> check, even if distracted or endangered. It can use the <a href="CombatActions.php?Name=Move%20All%20Out">move all out</a> action when swimming, provided it travels in a straight line.</p><p><b><a href="CreaturesTraits.php?Name=Constrict">Constrict</a>:</b> An argorth deals +20 damage when grappling a foe.</p><p><b>Death Throes:</b> When an argorth is reduced to <a href="PlayingConditions.php?Name=Dead">dead</a>, it collapses to the ground and thrashes wildly. It makes a tail slam attack against every creature within 10 feet as it dies. This attack cannot be used to grapple or constrict a foe.</p><p><b>Fearful Shriek:</b> A argorth can emit a terrible scream, a howl not of the mortal world. When an argorth uses this ability, all creatures within 100 feet must succeed on a Difficulty 20 Will save or be <a href="PlayingConditions.php?Name=Shaken">shaken</a> for as long as the monster remains in sight. This is a sonic mind-effecting fear effect. This ability does not affect creatures of higher level than the argorth. Whether or not the save is successful, the affected creature is immune to the same argorth's shriek for 24 hours. The save Difficulty is Charisma-based.</p><p><b>Ground Slam:</b> As a full-round action, an argorth can lifts it entire body into the air and slam it against the ground in a single, reckless attack. This attack deals +4 damage to the argorth, but all creatures within 5 feet of the argorth are targeted by this +13 melee attack which deals +24 damage. Any creature standing within 10 feet of the argorth when it makes a ground slam attack must make a Difficulty 23 Reflex save or be knocked <a href="PlayingConditions.php?Name=Prone">prone</a> by the sheer force of the blow. The save Difficulty is Constitution-based.</p><p><b><a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> An argorth that swallows an opponent can use its <a href="Feats.php?Name=Cleave">Cleave</a> feat to bite and <a href="CombatActions.php?Name=Grapple">grab</a> another opponent. A swallowed creature takes +14 bludgeoning damage and +3 acid damage per round from the argorth's gizzard. An argorth's gizzard can hold 2 Medium, 8 Small, 32 Tiny or 128 Diminutive or smaller opponents.|
Assassin Vine|4th|Plant||Large|5 ft.|Str +5, Dex +0, Con +3, Int --, Wis +1, Cha -1||Improved Grab!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>| <a href="CreaturesTraits.php?Name=Blindsight">Blindsight</a> 30 ft., Camouflage, <a href="CreaturesTraits.php?Name=Constrict">Constrict</a>, Entangle, <a href="CreaturesTraits.php?Name=Immunity">Immunity to</a> Electricity, Plant Traits, <a href="CreaturesTraits.php?Name=Resistance%20to%20Energy">Resistance to</a> Cold 4 and Fire 4|+2!(-1 size, +3 base);+7!(slam or <a href="CombatActions.php?Name=Grapple">grapple</a>);12/--!(13 base, -1 size);+0|+8!+2 size, +3 Con, +3 natural;+7!+4 base, +3 Con;+1!+1 base;+2!+1 base, +1 Wis|The assassin vine is a semi-mobile plant that collects its own grisly fertilizer by grabbing and crushing animals and depositing the carcasses near its roots. A mature plant consists of a main vine, about 20 feet long. Smaller vines up to 5 feet long branch off from the main vine about every 6 inches. These small vines bear clusters of leaves, and in late summer they produce bunches of small fruits that resemble wild grapes. The fruit is tough and has a hearty but bitter flavour. Assassin vine berries make a heady wine. An assassin vine can move about, albeit very slowly, but usually stays put unless it needs to seek prey in a new vicinity.</p><p>A subterranean version of the assassin vine grows near hot springs, volcanic vents and other sources of thermal energy. These plants have thin, wiry stems and gray leaves shot through with silver, brown and white veins so that they resemble mineral deposits. An assassin vine growing underground usually generates enough offal to support a thriving colony of mushrooms and other fungi, which spring up around the plant and help conceal it.</p><p>An assassin vine uses simple tactics: It lies still until prey comes within reach, and then attacks. It uses its entangle ability both to catch prey and to deter counterattacks.|<b><a href="CreaturesTraits.php?Name=Blindsight">Blindsight</a>:</b> Assassin vines have no visual organs but can ascertain all foes within 30 ft. using sound, scent and vibration.</p><p><b>Camouflage:</b> Since an assassin vine looks like a normal plant when at rest, it takes a Difficulty 20 <a href="Skills.php?Name=Knowledge">Knowledge</a> (science), <a href="Skills.php?Name=Notice">Notice</a> or <a href="Skills.php?Name=Survival">Survival</a> check to notice it before it attacks.</p><p><b><a href="CreaturesTraits.php?Name=Constrict">Constrict</a>:</b> An assassin vine deals +6 damage on any successful <a href="CombatActions.php?Name=Grapple">grapple</a> check, even when pinning or moving its opponent.</p><p><b>Entangle:</b> An assassin vine can animate plants within 30 feet of itself as a free action to entangle its opponents. The effect lasts until the vine dies or decides to end it (also a free action). The ability is otherwise similar to the entangling effect described in the Plant Growth effect of the <a href="Powers.php?Name=Plant%20Shaping">Plant Shaping</a> supernatural power (rank 7, Wis, save Difficulty 13, <a href="Powers.php?Name=Plant%20Shaping">Plant Shaping</a> +8).|
Baryonyx|15th|Animal||Huge|40 ft.|Str +7, Dex +2, Con +4, Int -4, Wis +1, Cha +0|Notice!+12!9 ranks, +1 Wis, +2 bonus;Stealth!+5!9 ranks, +2 Dex, +2 bonus, -8 size|Attack Focus! (bite),;Double Strike!,;Improved Grab!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span> (bite),;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x2)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, Shake, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+11!(-2 size, +11 base, +2 Dex) (<b>+12 bite</b>);+14!(bite) or <b>+12</b> (claw);21/--!(21 base, -2 size, +2 Dex);+2|+12!+4 size, +4 Con, +2 natural,+2 <a href="Feats.php?Name=Tough">Tough</a>;+13!+9 base, +4 Con;+11!+9 base, +2 Dex;+6!+5 base, +1 Wis|A baryonyx is a large fish-eating dinosaur with a long crocodilian snout and large claws on its forelimbs that it uses to scoop fish from the water. It stands on two legs and is about 30 feet long, weighing some 2,000 pounds.|<b>Shake:</b> If a baryonyx successfully starts a <a href="CombatActions.php?Name=Grapple">grapple</a> with its bite attack, it deals automatic bite damage each round it maintains the hold as it shakes its prey violently in its long jaws. The baryonyx can deal this damage even if moving or pinning its opponent.</p><p><b>Skills:</b> A baryonyx has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks.</p><p><b> <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to three sizes smaller; +13 bludgeoning damage and +5 acid damage per round; gizzard Toughness save +9; a baryonyx' gizzard can hold 4 Small, 8 Tiny, or 32 Diminutive or smaller opponents.</p><p><b>Note:</b> Unlike other Huge predatory dinosaurs, a baryonyx does not have the ability to swallow Medium size creatures whole.|
Bat|1st|Animal||Diminutive|5 ft., fly 40 ft. (good)|Str -5, Dex +2, Con +0, Int -4, Wis +2, Cha -3|Notice!+9!0 ranks, +2 Wis, +4 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>;Stealth!+18!4 ranks, +2 Dex, +12 size|Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>)| <a href="CreaturesTraits.php?Name=Blindsight">Blindsight</a> (20 ft.)|+0!;+0!;16/--!(10 base, +2 Dex, +4 size);+2|-4!+0 Con, -4 size;+2!+2 base;+4!+2 base, +2 Dex;+2!+0 base, +2 Wis|Bats are small nocturnal flying mammals. These statistics describe small bats that eat primarily insects.|<b>Skills:</b> A bat has a +4 bonus on <a href="Skills.php?Name=Notice">Notice</a> checks. These bonuses are lost if its blindsight is negated.|
