Name|Description|
Ability Score Loss|Some attacks reduce the opponent's score in one or more <a href="BasicsAbilities.php">abilities</a>. This loss can be temporary (ability damage) or permanent (ability drain).</p><p><b>Ability Damage:</b> This attack damages an opponent's <a href="BasicsAbilities.php">ability score</a>. The creature's descriptive text gives the ability and the amount of damage. If an attack that causes ability damage scores a <a href="Combat.php#Damage">critical hit</a>, it deals twice the indicated amount of damage. Ability damage returns at the rate of 1 point per day for each affected ability.</p><p><b>Ability Drain:</b> This effect permanently reduces an opponent's <a href="BasicsAbilities.php">ability score</a>. The creature's descriptive text gives the ability and the amount drained. If an attack that causes ability drain scores a <a href="Combat.php#Damage">critical hit</a>, it drains twice the indicated amount. Unless otherwise specified in the creature's description, a draining creature gains an extra <a href="CombatDamage.php#Recovery">recovery</a> check with a +5 bonus whenever it drains an <a href="BasicsAbilities.php">ability score</a>, no matter how many points it drains.</p><p>Some ability drain attacks allow a Fortitude save (Difficulty 10 + 1/2 creature's level + creature's Charisma score). If no saving throw is mentioned, none is allowed.|
Alternate Form|A creature with this trait has the ability to assume one or more specific alternate forms. Assuming an alternate form results in the following changes to the creature:</p><ul><li>The creature retains the <a href="CreaturesTypes.php">type</a> and <a href="CreaturesSubTypes.php">subtype</a> of its original form. It gains the <a href="CharGenSize.php">size</a> of its new form.</li><li>The creature loses the physical traits of its original form and gains the physical traits of its new form.</li><li>The creature retains the special <a href="CreaturesTraits.php">traits</a> of its original form. It does not gain any special <a href="CreaturesTraits.php">traits</a> of its new form.</li><li>The creature retains the supernatural <a href="Powers.php">powers</a> and attacks of its old form (except for <a href="CreaturesTraits.php?Name=Breath%20Weapon">breath weapons</a> and <a href="CreaturesTraits.php?Name=Gaze">gaze attacks</a>). It does not gain the supernatural <a href="Powers.php">powers</a>, special abilities or supernatural attacks of its new form.</li><li>The creature gains the physical <a href="BasicsAbilities.php">ability scores</a> (Str, Dex, Con) of its new form. It retains the mental <a href="BasicsAbilities.php">ability scores</a> (Int, Wis, Cha) of its original form.</li><li>The creature retains its <a href="BasicsSavingThrows.php">save bonuses</a>, although its save modifiers may change due to a change in ability scores.</li><li>The creature is effectively disguised as a creature of its new form, and it gains a +10 bonus on <a href="Skills.php?Name=Disguise">Disguise</a> checks if it uses this ability to create a disguise.</li></ul>|
Amphibious|An amphibious creature is naturally aquatic but can also survive indefinitely on land. It can breathe both air and water without difficulty.|
Blindsense|Using non-visual senses, such as acute smell or hearing, a creature with blindsense notices things it cannot see. The creature usually does not need to make <a href="Skills.php?Name=Notice">Notice</a> checks to pinpoint the location of a creature within range of its blindsense ability, provided the creature does not have total <a href="CombatModifiers.php?Name=Cover">cover</a>. Any opponent the creature cannot see normally still has total <a href="CombatModifiers.php?Name=Concealment">concealment</a>, and the creature still has the normal miss chance when attacking foes that have <a href="CombatModifiers.php?Name=Concealment">concealment</a>. Visibility still affects the movement of a creature with blindsense. A creature with blindsense is still unable to use its <a href="Combat.php#Dodge">Dodge</a> or <a href="Combat.php#Parry">Parry</a> against attacks from creatures it cannot see.|
Blindsight|Using non-visual senses, such as sensitivity to vibrations, scent, acute hearing, or echolocation, the creature maneuvers and fights as well as a sighted creature. Invisibility and darkness are irrelevant to such a creature. The ability's range is specified in the text. The creature does not need to make <a href="Skills.php?Name=Notice">Notice</a> checks against creatures within range of its blindsight ability; it detects them automatically.|
Breath Weapon|A breath weapon attack usually deals damage and is often based on some type of energy.</p><p>Such breath weapons allow a Reflex save for half damage (Difficulty 10 + 1/2 creature's level + creature's Constitution score). A creature is immune to its own breath weapon unless otherwise noted. Some breath weapons allow a Fortitude save or a Will save instead of a Reflex save.|
Change Shape|A creature with this special quality has the ability to assume the appearance of a specific creature or <a href="CreaturesTypes.php">type</a> of creature (usually a humanoid) while retaining most of its own physical qualities. A creature cannot change shape to a form more than one <a href="CharGenSize.php">size category</a> smaller or larger than its original form. Changing shape results in the following changes to the creature:</p><ul><li>The creature retains the <a href="CreaturesTypes.php">type</a> and <a href="CreaturesSubTypes.php">sub-type</a> of its original form. It gains the <a href="CharGenSize.php">size</a> of its new form.</li><li>The creature loses the natural weapons, movement modes, and extraordinary special attacks of its original form.</li><li>The creature gains the natural weapons, movement modes, and extraordinary special attacks of its new form.</li><li>The creature retains all other special attacks and qualities of its original form, except for <a href="CreaturesTraits.php?Name=Breath%20Weapon">breath weapons</a> and <a href="CreaturesTraits.php?Name=Gaze">gaze attacks</a>.</li><li>The creature retains the <a href="BasicsAbilities.php">ability scores</a> of its original form.</li><li>The creature retains its original <a href="BasicsSavingThrows.php">saving throws</a>.</li><li>The creature retains any supernatural <a href="Powers.php">powers</a> it had in its original form.</li><li>The creature is effectively disguised as a creature of its new form, and gains a +10 bonus on <a href="Skills.php?Name=Disguise">Disguise</a> checks if it uses this ability to create a disguise.</li></ul>|
Constrict|The creature crushes the opponent, automatically dealing bludgeoning damage after making a successful <a href="CombatActions.php?Name=Grapple">grapple</a> check. The amount of damage is given in the creature's entry. The creature may deal this damage even if it uses <a href="CombatActions.php?Name=Grapple">grapple</a> to pin or move its opponent. If the creature also has the <a href="Feats.php?Name=Improved%20Grab">Improved Grab</a> feat, it deals constriction damage in addition to damage dealt by the attack used to grab.|
Damage Reduction|The creature receives a bonus to its Toughness saving throws against certain attacks. The creature takes normal damage from energy attacks (acid, cold, electricity, fire, and sonic), powers, and supernatural special abilities.</p><p>The entry indicates the bonus and the type of attack that negates the ability. A supernatural weapon automatically negates any damage reduction negated by a mundane weapon type. For example, skeletons have damage reduction +2/bludgeoning. This means they get a +2 bonus to their Toughness saves, unless hit by a bludgeoning weapon. They also lose their +2 bonus if hit by a supernatural weapon.</p><p>For purposes of harming other creatures with damage reduction, a creature's natural weapons count as the type that ignores its own damage reduction. For example, a vampire has damage reduction +4/ silver and supernatural. This means a vampire can bypass the damage reduction of other creatures that are vulnerable to silver or supernatural weapons, including other vampires.|
Darkvision|The creature can see in total darkness, out to the specified range (usually 60 feet). Darkvision is black-and-white only, but is otherwise like normal sight.|
Dependent|The creature needs a particular substance to survive, much like humans need food, water, and air. When denied what it needs, the creature suffers the effects of starvation, dehydration, or suffocation, depending on how dependent it is on the substance.|
Disease|When heroes come into contact with a disease, they must make a Fortitude saving throw against a Difficulty of 10 + the disease's virulence rank to avoid becoming infected. The method of infection depends on the disease. Some are airborne, while others require physical contact.</p><p>If a hero becomes infected, there is a period of anywhere from a few hours to a week or more during which the disease lies dormant. Then the disease takes effect. The initial effect is typically a point or two of ability damage (usually Strength or Constitution or perhaps a point of each).</p><p>After that, the victim makes another Fortitude save against the same Difficulty each day to fight off the disease. If that save fails, the character suffers the disease's effects again. If it succeeds, there is no effect that day. Two successful Fortitude saves in a row indicate the character has fought off the disease. Some diseases may have additional effects, such as <a href="PlayingFatigue.php">fatigue</a>, <a href="PlayingConditions.php?Name=Nauseated">nausea</a>, or even rendering the hero <a href="PlayingConditions.php?Name=Staggered">staggered</a> or <a href="PlayingConditions.php?Name=Disabled">disabled</a> while fighting off the disease.|
Engulf|The creature can attempt to engulf an opponent as a standard action simply by walking straight into it. It can usually only attempt to engulf creatures at least one size category smaller than itself. It cannot make any other attacks during a round in which it engulfs. Targets being engulfed must succeed on a Reflex save or be engulfed; on a success they are pushed back or aside (opponent's choice) as the creature moves forward. Engulfed creatures are considered to be <a href="PlayingConditions.php?Name=Grappled">grappled</a> and trapped within the creature's body and may also be subject to additional attacks from thee engulfing creature. The save Difficulty is usually Strength-based.|
Fast Healing|The creature makes <a href="CombatDamage.php#Recovery">recovery checks</a> at an exceptional rate, perhaps as often as once a minute (10 rounds). Fast healing stops working when a creature is dead. Except for its speed, fast healing works just like natural healing, and doesn't provide any benefit against attacks that don't deal damage. It also doesn't allow a creature to regrow or reattach severed body parts.|
Fear|Fear attacks can have various effects.</p><p><b>Fear Aura:</b> The use of this ability is a free action. The aura can freeze an opponent or function like the fear effect of the <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a> power. Other effects are possible. A fear aura is an area effect. The descriptive text gives the size and kind of area.</p><p><b>Fear Cones and Rays:</b> These effects usually work like the fear effect of the <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a> power.</p><p>If a fear effect allows a saving throw, it is a Will save (Difficulty 10 + 1/2 creature's level + creature's Charisma score). All fear attacks are mind-influencing effects.|
Flight|A creature with this ability can cease or resume flight as a free action. If the ability is supernatural, it becomes ineffective under conditions that negate the use of supernatural <a href="Powers.php">powers</a>, and the creature loses its ability to fly for as long as the negating effect or conditions persist.|
Frightful Presence|This special quality makes a creature's very presence unsettling. It takes effect automatically when the creature performs some sort of dramatic action (such as charging, attacking, or snarling). Opponents within range who witness the action may become <a href="PlayingConditions.php?Name=Frightened">frightened</a> or <a href="PlayingConditions.php?Name=Shaken">shaken</a>. Actions required to trigger the ability are given in the creature's descriptive text. This ability affects only opponents lower in level than the creature.</p><p>An affected opponent can resist the effects with a successful Will save (Difficulty 10 + 1/2 creature's level + creature's Charisma score). An opponent that succeeds on the saving throw is immune to that same creature's frightful presence for 24 hours. On a failed save, the effect lasts for two rounds for each point the save failed. Frightful presence is a mind-influencing effect.|
Gaze|A gaze attack takes effect when opponents look at the creature's eyes. The attack can have almost any sort of effect: petrification, death, charm, and so on. The typical range is 30 feet, but check the creature's entry for details. The type of saving throw for a gaze attack varies, but it is usually a Will or Fortitude save (Difficulty 10 + 1/2 creature's level + creature's Charisma score). A successful saving throw negates the effect.</p><p>A monster's gaze attack is described in abbreviated form in its description. Each opponent within range of a gaze attack must attempt a saving throw each round at the beginning of his or her turn in the initiative order. Only looking directly at a creature with a gaze attack leaves an opponent vulnerable. Opponents can avoid the need to make the saving throw by not looking at the creature, in one of two ways.</p><p><b>Averting Eyes:</b> The opponent avoids looking at the creature's face, instead looking at its body, watching its shadow, tracking it in a reflective surface, and so on. Each round, the opponent has a 50% chance (1-10 on a d20) to not need to make a saving throw against the gaze attack. The creature with the gaze attack, however, gains <a href="CombatModifiers.php?Name=Concealment">concealment</a> against that opponent.</p><p><b>Wearing a Blindfold:</b> The opponent cannot see the creature at all (also possible to achieve by turning one's back on the creature or shutting one's eyes). The creature with the gaze attack gains total <a href="CombatModifiers.php?Name=Concealment">concealment</a> against the opponent.</p><p>A creature with a gaze attack can actively gaze as an attack action by choosing a target within range. That opponent must attempt a saving throw but can try to avoid the creature's gaze as described previously. Thus, it is possible for an opponent to save against a creature's gaze twice during the same round, once before the opponent's action and once during the creature's turn.</p><p>Gaze attacks can affect <a href="CreaturesSubTypes.php?Name=Incorporeal">incorporeal</a> opponents. A creature is immune to gaze attacks of others of its kind unless otherwise noted.</p><p>Allies of a creature with a gaze attack might be affected. All the creature's allies are considered to be averting their eyes from the creature with the gaze attack, and have a 50% chance to not need to make a saving throw against the gaze attack each round. The creature also can veil its eyes, thus negating its gaze ability.|
Immunity|The creature is completely immune to some effect, suffering no harm or other effect from it. Essentially, the creature always succeeds on its saving throws against that effect, regardless of the Difficulty. So a creature immune to cold never suffers damage from cold, for example.|
Light Sensitivity|Abrupt exposure to bright light (natural or supernatural light equal to full daylight) <a href="PlayingConditions.php?Name=Blinded">blinds</a> the creature for a round. On subsequent rounds, the creature is <a href="PlayingConditions.php?Name=Dazzled">dazzled</a> (-1 on attack rolls, Notice checks, and Search checks) while operating in bright light.|
Mimicry|The creature can imitate sounds and voices, giving it a +20 bonus on <a href="Skills.php?Name=Bluff">Bluff</a> and <a href="Skills.php?Name=Perform">Perform</a> checks to fool others into believing its mimicry is real.|
Paralysis|This special attack renders the victim immobile. Paralyzed creatures cannot move, speak, or take any physical actions. The creature is rooted to the spot, frozen and helpless. Paralysis works on the body, and a character can usually resist it with a Fortitude saving throw (the Difficulty is given in the creature's description). A paralysis effect does not allow a new save each round. A winged creature flying in the air at the time that it is paralyzed cannot flap its wings and falls. A swimmer can't swim and may drown.|
Petrification|A petrification attack turns a creature permanently to stone if they fail their saving throw. The saving throw is usually a Fortitude save (Difficulty of 10 + 1/2 the creature's level + the creature's Constitution). The exact details and difficulty for the saving throw are given in the creature's description. A petrification effect may be reversed with a Difficulty 25 <a href="Powers.php?Name=Earth%20Shaping">Earth Shaping</a> check followed by a Difficulty 25 <a href="Powers.php?Name=Flesh%20Shaping">Flesh Shaping</a> check.|
Poison|Poison attacks deal initial damage--such as temporary ability damage or some other effect--to the victim on a failed Fortitude save. Unless otherwise noted, another saving throw is required 1 minute later (regardless of the first save's result) to avoid secondary damage. The Fortitude save against poison has a Difficulty equal to 10 + half the creature's level + the creature's Constitution score. A successful save negates the damage.|
Pounce|When a creature with this special attack makes a <a href="CombatActions.php?Name=Charge">charge</a>, it can attack with both claws and its bite all in the same round, like a use of the <a href="Feats.php?Name=Two-Weapon%20Fighting">Two-Weapon Fighting</a> feat.|
Powerful Charge|When a creature with this special attack makes a <a href="CombatActions.php?Name=Charge">charge</a>, its attack deals extra damage in addition to the normal benefits and hazards of a <a href="CombatActions.php?Name=Charge">charge</a>. The amount of damage from the attack is given in the creature's description.|
Powers|The creature can use various supernatural <a href="Powers.php">powers</a>. Unless specified otherwise in its statistics, a creature has power ranks equal to an <a href="RolesAdept.php">adept</a> of its level with the normal effects and <a href="PlayingFatigue.php">fatigue</a> (if the power is fatiguing).|
Rake|A creature with the Rake ability gains the listed Rake bonus as a damage bonus whenever it makes a successful <a href="CombatActions.php?Name=Grapple">grapple</a> check and chooses to deal damage against its opponent. Rake attacks are not subject to the usual -4 penalty for attacking with a natural weapon in a grapple.</p><p>A monster with the rake ability must begin its turn <a href="CombatActions.php?Name=Grapple">grappling</a> to use its rake--it can't begin a <a href="CombatActions.php?Name=Grapple">grapple</a> and rake in the same turn.|
Ray|This form of special attack works like a ranged attack. Hitting with a ray attack requires a successful ranged attack roll, ignoring any bonus granted by a <a href="EquipmentArmor.php#Shields">shield</a>. Ray attacks have no range increment. The creature's descriptive text specifies the maximum range, effects, and any applicable saving throw.|
