Name|Description|Toughness|Combat|SV|Skills|Mindless|Feats|FeatTypes|BonusFeats|Powers|Traits|Advancement|
Aberration|An aberration has a bizarre anatomy, strange abilities, an alien mindset, or any combination of the three.|Constitution|3/4|Will|2||1|General, Warrior, Expert, Adept|Martial Weapon Training|Powers|<li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li><li>Aberrations eat, sleep and breathe.</li>|Aberrations with an Intelligence of -3 or below advance by gaining more levels in aberration. Aberrations with an Intelligence of -2 or above advance by <a href="Roles.php">heroic role</a>.|
Animal|An animal is a nonhumanoid creature, usually a vertebrate with no magical abilities and no innate capacity for language or culture. Note that animals cannot use <a href="Combat.php#Parry">Parry</a> defense.	|Constitution|3/4|Fortitude and Reflex (some animals have different good saves)|2||1|General, Warrior, Expert|Night Vision||<li>Intelligence of -5 or -4 (a creature with an Intelligence of -3 or above cannot be an animal)</li><li>Animals eat, sleep and breathe.</li>|Animals advance by gaining more levels in animal.|
Construct|A construct is an animated object or artificially constructed creature.|+1|3/4|None|2|Mindless|1|General, Martial|Night Vision, Martial Weapon Training||<li>No Constitution score.</li><li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li><li>Immunity to all mind-influencing effects (including <a href="Powers.php?Name=Heart%20Reading">Heart Reading</a>, <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a>, and any supernatural power requiring mental contact).</li><li>Immunity to poison, sleep effects, paralysis, stunning and disease effects or the <a href="Powers.php?Name=Imbue%20Unlife">Imbue Unlife</a> supernatural power.</li><li>Cannot heal damage on their own. A construct with the fast healing special quality still benefits from that quality. Supernatural constructs can usually be repaired by exposing them to a certain kind of effect (see the creature's description for details) or through the use of the <a href="Feats.php?Name=Imbue%20Item">Imbue Item</a> feat. Mechanical constructs can be repaired with the <a href="Skills.php?Name=Craft">Craft</a> (mechanics) skill (Difficulty 15 for "hurt", 20 for "wounded", and 25 for "diabled").</li><li>A mindless construct's creator (or owner) can command it if the construct is within 60 feet and can see and hear its creator. If not commanded, a mindless construct usually follows its last instructions to the best of its ability, though if attacked it returns the attack. The creator can give the construct a simple command to govern its actions in his or her absence.</li><li>Not subject to <a href="Combat.php#Damage">critical hits</a>, <a href="CombatDamage.php#NonLethalDamage">non-lethal damage</a>, <a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">ability score loss</a> or <a href="PlayingFatigue.php">fatigue</a>.</li><li>Immunity to any effect that requires a Fortitude save (unless the effect also works on objects, or is harmless.)</li><li>Immediately destroyed when reduced to "dying" condition on the damage track.</li><li>Cannot be affected by the <a href="Powers.php?Name=Imbue%20Life">Imbue Life</a> power.</li><li>Constructs do not eat, sleep or breathe.</li>|Constructs advance by gaining more levels in construct.|
Monstrous Humanoid|A monstrous humanoid is a humanoid creature with monstrous or animalistic features. A monstrous humanoid often possesses supernatural abilities as well.|Constitution|1|Reflex, Will|2||1|General, Adept, Expert, Warrior||Powers|<li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li><li>Monstrous humanoids eat, sleep and breathe.</li>|Monstrous humanoids advance by <a href="Roles.php">heroic role</a>.|
Necrotech Construct|A necrotech construct is an artifically fabricated undead or construct made from a mix of mechanical parts and the parts of once-living creatures animated and powered by necromantic forces.|+0|3/4|Will|2|Mindless|1|General, Adept, Expert, Warrior|Martial Weapon Training|Powers|<li>No Constitution.</li><li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li><li>Immunity to all mind-influencing effects (including <a href="Powers.php?Name=Heart%20Reading">Heart Reading</a>, <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a>, and any power requiring mental contact).</li><li>Immunity to <a href="EquipmentPoisons.php">poison</a>, <a href="Powers.php?Name=Sleep">sleep</a> effects, <a href="CreaturesTraits.php?Name=Paralysis">paralysis</a>, stunning and disease.</li><li>Not subject to <a href="Combat.php#Damage">critical hits</a>, <a href="CombatDamage.php#NonLethalDamage"> non-lethal damage</a>, or <a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">ability drain</a>. Immune to damage to its physical ability scores (Strength, Dexterity, and Constitution), as well as to <a href="PlayingFatigue.php">fatigue</a>.</li><li>Cannot heal damage on its own if it has no Intelligence score, although it can be healed. The <a href="CreaturesTraits.php?Name=Fast%20Healing">fast healing</a> special quality works regardless of the creature's Intelligence score.</li><li>The <a href="Powers.php?Name=Harm">Harm</a> power heals necrotech constructs (treat this situation as if the <a href="Powers.php?Name=Cure">Cure</a> power were being used on a living creature).</li><li>The <a href="Powers.php?Name=Cure">Cure</a> power damages necrotech constructs as it were <a href="Powers.php?Name=Harm">Harm</a> used on a living creature.</li><li>Immunity to any effect requiring a Fortitude save (unless the effect also works on objects or is harmless).</li><li>When reduced to <a href="PlayingConditions.php?Name=Dying">dying</a> condition on the damage track, it is immediately destroyed.</li><li>Not affected by the <a href="Powers.php?Name=Imbue%20Life">Imbue Life</a> supernatural power.</li><li>Necrotech constructs do not breathe, eat or sleep.</li>|Necrotech constructs with an Intelligence of -2 or less advance by gaining levels in necrotech construct. Necrotech constructs with an Intelligence of -1 or greater advance by heroic role.|
Ooze|An ooze is an amorphous or mutable creature. They are slimy and gross.|Constitution +1|3/4|None|2|Mindless|1|General|||<li>Mindless: No Intelligence, and immunity to all mind-influencing effects (including <a href="Powers.php?Name=Heart%20Reading">Heart Reading</a>, <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a>, and any power requiring mental contact)</li><li>Blind (but have the <a href="CreaturesTraits.php?Name=Blindsight">blindsight</a> special quality), so anything that relies on them seeing things won't work.</li><li>Immunity to <a href="EquipmentPoisons.php">poison</a>, <a href="Powers.php?Name=Sleep">sleep</a> effects, <a href="CreaturesTraits.php?Name=Paralysis">paralysis</a>, stunning and the <a href="Powers.php?Name=Flesh%20Shaping">Flesh Shaping</a> power.</li><li>Some oozes have the ability to deal <a href="PlayingHazards.php">acid</a> damage to objects. In such cases, the amount of damage is equal to the ooze's Constitution per full round of contact.</li><li>Not subject to <a href="Combat.php#Damage">critical hits</a> or <a href="CombatDamage.php#NonLethalDamage"> non-lethal damage</a>.</li><li>Oozes eat and breathe, but do not sleep.</li>|Oozes advance by gaining levels in ooze.|
Plant|A plant is a vegetable creature.|Constitution|3/4|Fortitude|2|Mindless|1|General|Night Vision||<li>Immunity to all mind-influencing effects (including <a href="Powers.php?Name=Heart%20Reading">Heart Reading</a>, <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a>, and any power requiring mental contact).</li><li>Not subject to <a href="Combat.php#Damage">critical hits</a> or <a href="CombatDamage.php#NonLethalDamage"> non-lethal damage</a>.</li><li>Plants breathe and eat, but do not sleep.</li>|Plants with an Intelligence of -2 or lower advance by gaining levels in plant. Plants with an Intelligence of -1 or more advance by <a href="Roles.php">heroic role</a>.|
Spirit|A spirit is a supernatural creature that exists in a world somehow detached from what we think of as "the real world".|Constitution|1|Fortitude, Reflex and Will|4||1|General, Adept, Expert, Warrior|Night Vision|Powers|<li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li></li><li>Spirits may be affected by the <a href="Powers.php?Name=Ward">Ward</a> power, and may be chosen as a <a href="Feats.php?Name=Power%20Focus">Power Focus</a>.</li><li>Spirits have the <a href="Powers.php?Name=Mind%20Touch">Mind Touch</a> power as a bonus power.</li><li>Immunity to <a href="EquipmentPoisons.php">poison</a>, <a href="Powers.php?Name=Sleep">sleep</a> effects, <a href="CreaturesTraits.php?Name=Paralysis">paralysis</a>, stunning or disease.</li><li>Not subject to <a href="Combat.php#Damage">critical hits</a>, <a href="CombatDamage.php#NonLethalDamage"> non-lethal damage</a> or <a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">ability drain</a>. Immune to damage to its physical abilities (Strength, Dexterity and Constitution) as well as to <a href="PlayingFatigue.php">fatigue</a>.</li><li>Immunity to any effect requiring a Fortitude save (unless the effect also works on objects or is harmless).</li><li>Not affected by the <a href="Powers.php?Name=Imbue%20Life">Imbue Life</a> supernatural power.</li><li>Spirits do not breathe, eat or sleep.</li>|Spirits with an Intelligence of -2 or less advance by gaining levels in spirit. Spirits with an Intelligence of -1 or more advance by <a href="Roles.php">heroic role</a>.|
Supernatural Beast|Supernatural beasts are similar to animals but can have Intelligences higher than -4. Supernatural beasts usually have supernatural abilities, but sometimes are merely bizarre in appearance or habits and have supernatural origins.|Constitution|1|Fortitude, Reflex|2||1|General, Adept, Expert, Warrior|Night Vision|Powers|<li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li><li>Supernatural beasts eat, sleep and breathe.</li>|Supernatural beasts advance by gaining levels in supernatural beast.|
Undead|An undead is a once-living creature animated by spiritual or supernatural forces.|+0|1/2|Will|6|Mindless|1|General, Adept, Expert, Warrior|Armor Training, Martial Weapon Training|Powers|<li>Mindless skeletal undead gain the <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a> feat.</li><li>Mindless zombie-like undead gain the <a href="Feats.php?Name=Tough">Tough</a> feat.</li><li>No Constitution.</li><li><a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.</li><li>Immunity to all mind-influencing effects (including <a href="Powers.php?Name=Heart%20Reading">Heart Reading</a>, <a href="Powers.php?Name=Heart%20Shaping">Heart Shaping</a>, and any power requiring mental contact).</li><li>Immunity to <a href="EquipmentPoisons.php">poison</a>, <a href="Powers.php?Name=Sleep">sleep</a> effects, <a href="CreaturesTraits.php?Name=Paralysis">paralysis</a>, stunning and disease.</li><li>Not subject to <a href="Combat.php#Damage">critical hits</a>, <a href="CombatDamage.php#NonLethalDamage"> non-lethal damage</a>, or <a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">ability drain</a>. Immune to damage to its physical ability scores (Strength, Dexterity, and Constitution), as well as to <a href="PlayingFatigue.php">fatigue</a>.</li><li>Cannot heal damage on its own if it has no Intelligence score, although it can be healed. The <a href="CreaturesTraits.php?Name=Fast%20Healing">fast healing</a> special quality works regardless of the creature's Intelligence score.</li><li>The <a href="Powers.php?Name=Harm">Harm</a> power heals undead creatures (treat this situation as if the <a href="Powers.php?Name=Cure">Cure</a> power were being used on a living creature).</li><li>The <a href="Powers.php?Name=Cure">Cure</a> power damages undead creatures as if it were <a href="Powers.php?Name=Harm">Harm</a> used on a living creature.</li><li>Immunity to any effect requiring a Fortitude save (unless the effect also works on objects or is harmless).</li><li>When reduced to "dying" on the damage track, it is immediately destroyed.</li><li>Not affected by the <a href="Powers.php?Name=Imbue%20Life">Imbue Life</a> supernatural power.</li><li>Undead do not breathe, eat, or sleep.</li>|Undead with an Intelligence of -2 or less advance by gaining levels in undead. Undead with an Intelligence of -1 or more advance by <a href="Roles.php">heroic role</a>.|
