Name|Type|Prerequisites|Benefit|Summary
Animal Empathy|General||You have a special connection with animals. You can use the <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a> skill like <a href="Skills.php?Name=Diplomacy">Diplomacy</a> to change the attitude of an animal by interacting with it. Unlike a normal use of <a href="Skills.php?Name=Diplomacy">Diplomacy</a>, you do not have to speak a language the animal understands, and Animal Empathy affects creatures with Intelligence -4 or less normally. You can also use the <a href="Skills.php?Name=Bluff">Bluff</a> and <a href="Skills.php?Name=Gather%20Information">Gather Information</a> skills normally on animals. You don't actually need to speak to the animals; you communicate your intent through gestures and body language and learn things by studying animal behavior.|You can use interaction skills on animals.
Armor Training|Warrior||You're trained to move and fight while wearing <a href="EquipmentArmor.php">armor</a>. Characters without Armor Training apply their armor's check penalty to all physical rolls and checks while wearing it, including <a href="Combat.php#AttackBonus">attack rolls</a> and <a href="Combat.php#ManeuverBonus">maneuver attempts</a>. Characters with Armor Training only apply the armor's check penalty to <a href="Skills.php?Name=Acrobatics">Acrobatics</a>, <a href="Skills.php?Name=Climb">Climb</a>, <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a>, <a href="Skills.php?Name=Jump">Jump</a>, <a href="Skills.php?Name=Sleight%20of%20Hand">Sleight of Hand</a>, <a href="Skills.php?Name=Stealth">Stealth</a>, and <a href="Skills.php?Name=Swim">Swim</a> checks.|You know how to move and fight while wearing armor.
Assessment|General||You're able to size up someone's combat capabilities by observing them carefully. As a move action, choose a subject and make a <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> check opposed by the subject's <a href="Skills.php?Name=Bluff">Bluff</a> check result. If you succeed, the Narrator tells you the subject's <a href="Combat.php#CombatBonus">combat bonus</a> relative to yours (lower, higher, or equal). You don't know the subject's exact bonus unless it equals your own, only a rough estimate of relative ability. In cases of a 5-point or greater difference, the Narrator may choose to tell you the subject's bonus is considerably more or less than yours. If you lose the opposed roll, the Narrator should over- or under-estimate the subject's bonus.|You can get an idea of an opponent's combat bonus.
Attack Focus|General||You have unusual prowess in one particular kind of attack. Choose one attack: unarmed, grapple, a type of weapon, or a supernatural power. You gain a +1 bonus on all <a href="Combat.php#AttackBonus">attack rolls</a> or <a href="Combat.php#ManeuverBonus">maneuver rolls</a> you make using the selected attack. You can gain this feat multiple times. Each time, it applies to a new attack.|+1 on <a href="Combat.php#AttackBonus">attack</a> or <a href="Combat.php#ManeuverBonus">maneuver</a> rolls with a chosen attack.
Attack Specialization|Warrior|<a href="Feats.php?Name=Attack%20Focus">Attack Focus</a> with the chosen attack.|Choose an attack for which you have already selected the Attack Focus feat. You deal +1 <a href="Combat.php#Damage">damage</a> when using this attack. You can gain this feat multiple times. Each time, it applies to a new attack.|+1 <a href="Combat.php#Damage">damage</a> with a chosen attack.
Attractive|General||You're particularly attractive, giving you a +4 bonus on <a href="Skills.php?Name=Bluff">Bluff</a> and <a href="Skills.php?Name=Diplomacy">Diplomacy</a> checks to deceive, seduce, or change the attitude of anyone who might find you appealing.|+4 bonus on <a href="Skills.php?Name=Bluff">Bluff</a> and <a href="Skills.php?Name=Diplomacy">Diplomacy</a> checks from your appearance.
Awesome Blow|Warrior|Str +7|As a standard action, you may choose to subtract 4 from your melee attack roll and deliver an awesome blow. If you hit a corporeal opponent smaller than yourself with an awesome blow, your opponent must succeed on a Reflex save (Difficulty 10 + 1/2 your level + your Strength score) or be knocked 10 feet in a direction of your choice and fall prone. If they hit an obstacle, they and the obstacle each take +2 damage.|Knock opponents flying.|
Benefit|General||You have some significant perquisite or fringe benefit. The exact nature of the benefit is for you and the Narrator to determine. As a rule of thumb it should not exceed the benefits of any other feat.<br />The following are some potential Benefits.<ul><li>Alternate Identity: You have an alternate identity, complete with disguise and friends who can back you up on either one.</li><li>Heirloom: You have received a <a href="Equipment.php#Mastercraft">mastercraft item</a> of some sort from your family or otherwise in the course of your life.</li><li>Status: By virtue of birth or achievement, you have special status. You're related to a famous pirate, or carry titles back in the Empire, or are the sole survivor of the dreaded Spotted Beetle Plague that engulfed your island.</li></ul>|Gain some minor, but significant, benefit.
Blind-Fight|General||In melee combat, you suffer half the usual miss chance due to <a href="CombatModifiers.php?Name=Concealment">concealment</a>. If you spend a <a href="BasicsConviction.php">Conviction</a> point before rolling the miss chance, you automatically ignore it for that attack (you gain no other benefit from the <a href="BasicsConviction.php">Conviction</a> point). <br />You take only half the usual penalty to speed for being unable to see; darkness and poor visibility reduce your speed to three-quarters rather than half.|Half miss chance while in melee combat.
Canny Dodge|General||When unarmored and unencumbered, add your Intelligence or Wisdom score to your <a href="Combat.php#Dodge">Dodge</a>. Choose which bonus applies when you acquire this feat. The bonus from this feat is in addition to the standard bonus granted to your <a href="Combat.php#Dodge">Dodge</a> by your Dexterity. You lose your Canny Dodge bonus if you are wearing armor or carrying more than a light load.|Add your Int or Wis score to your <a href="Combat.php#Dodge">Dodge</a>.
Chakram Tricks|General|<a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training (chakram)</a>|You can use your <a href="EquipmentWeapons.php?Name=Chakram">chakram</a> to make trick shots, bouncing the chakram off available surfaces to strike opponents from directions they do not expect. This attack counts as a <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attack</a>, and can only be performed once against any given opponent. There must be available flat surfaces such as walls or pillars to make the attack with -- you cannot use this ability on an open field, for example. In addition, you may use the <a href="Feats.php?Name=Cleave">Cleave</a> feat with your <a href="EquipmentWeapons.php?Name=Chakram">chakram</a>. If you have the <a href="Feats.php?Name=Cleave">Cleave</a> feat, any time your <a href="EquipmentWeapons.php?Name=Chakram">chakram</a> attack knocks out, disables or kills your target, your <a href="EquipmentWeapons.php?Name=Chakram">chakram</a> carries on and makes another free attack against an opponent within ten feet of the original target. If no opponents are within this range, the chakram Cleave cannot be performed. <br />Finally, if you have <a href="Feats.php?Name=Improved%20Precise%20Shot">Improved Precise Shot</a> and Chakram Tricks, you ignore even total <a href="CombatModifiers.php?Name=Cover">cover</a> -- as long as there is a clear path sufficient for the chakram to travel, you can attack targets who have total cover. They do have total <a href="CombatModifiers.php?Name=Concealment">concealment</a>, however, and so the 50% miss chance applies to all such attacks.|Make trick shots and combos with your <a href="EquipmentWeapons.php?Name=Chakram">chakram</a>.
Challenge|General||Choose a specific <a href="BasicsChecks.php#Challenges">Challenge</a>. You can pick a standard <a href="BasicsChecks.php#Challenges">Challenge</a> or one from any skill's individual description. For standard challenges, the challenge only applies to a specific task. So, for example, if you choose the <a href="BasicsChecks.php#Challenges">Fast Task Challenge</a>, you need to specify a task, such as the feint application of <a href="Skills.php?Name=Bluff">Bluff</a>, or making an item with <a href="Skills.php?Name=Craft">Craft</a>. If you take <a href="BasicsChecks.php#Challenges">Simultaneous Tasks</a>, you need to specify the two tasks. Once specified, these things do not change.<br /> You can perform the challenge chosen under this feat with a 5-point lesser modifier than usual. So, for challenges with a -5 penalty or a +5 Difficulty, you perform them like normal checks. For challenges with a greater modifier, you reduce the modifier accordingly. So a hero with Fast Feint, for example, can <a href="CombatActions.php?Name=Feint">feint in combat as a move action</a> with no <a href="Skills.php?Name=Bluff">Bluff</a> check modifier (since the normal modifier is -5).<br /> You can take this feat multiple times. Each time, it applies to a different challenge.|Perform a particular <a href="BasicsChecks.php#Challenges">Challenge</a> with no modifier.
Chokehold|Warrior||If you <a href="CombatActions.php?Name=Grapple">pin an opponent while grappling</a>, you can apply a chokehold, causing your opponent to begin <a href="PlayingHazards.php#Suffocation">suffocating</a> for as long as you maintain the pin.|Cause a <a href="PlayingConditions.php?Name=Pinned">pinned</a> opponent to <a href="PlayingHazards.php#Suffocation">suffocate</a>.
Cleave|Warrior||If you knock out, disable, or kill an opponent with a melee attack, you get an immediate extra melee attack against another opponent within reach. You can't move before making this extra attack. The extra attack is with the same weapon and <a href="Combat.php#AttackBonus">attack bonus</a> as the attack that downed your previous opponent. You can use this feat once per round.|Get an extra melee attack when you take out an opponent.
Connected|General||You know people who can help you out from time to time. You can call in favors by making a <a href="Skills.php?Name=Diplomacy">Diplomacy</a> check. It might be advice, information, help with a legal matter, or access to resources. The Narrator sets the Difficulty of the <a href="Skills.php?Name=Diplomacy">Diplomacy</a> check, based on the aid required. A simple favor is Difficulty 10, ranging up to Difficulty 25 or higher for especially difficult, dangerous, or expensive favors. You can spend a <a href="BasicsConviction.php">Conviction</a> point to automatically secure the favor. The Narrator has the right to veto any request if it is too involved or likely to spoil the plot of the adventure. Use of this feat always requires at least a few minutes (and often much longer) and the means to contact your allies.|You can call in favours from time to time. 
Contacts|General||You have such extensive and well-informed contacts that you can make a <a href="Skills.php?Name=Gather%20Information">Gather Information</a> check in only one minute, assuming you have some means of getting in touch with your contacts. You can take 10 or take 20 on this check (taking 20 requires 20 minutes rather than 1). Further <a href="Skills.php?Name=Gather%20Information">Gather Information</a> checks on the same subject require the normal length of time, as you need to widen your search.|You can make <a href="Skills.php?Name=Gather%20Information">Gather Information</a> checks faster.
Crippling Strike|Expert|<a href="Feats.php?Name=Sneak%20Attack">Sneak Attack</a>|You can <a href="Feats.php?Name=Sneak%20Attack">sneak attack</a> opponents with such precision that your attacks weaken them. Anyone suffering lethal damage from one of your <a href="Feats.php?Name=Sneak%20Attack">sneak attacks</a> also takes 1 point of Strength damage. Lost Strength returns at a rate of 1 point per day.|Your <a href="Feats.php?Name=Sneak%20Attack">sneak attacks</a> inflict 1 point of Str damage.
Critical Strike|Warrior|<a href="Feats.php?Name=Favoured%20Opponent">Favored Opponent</a>|You can score critical hits normally on favored opponents that are immune to critical hits. This benefit only affects your favored opponent(s).|Score critical hits normally against favoured opponents.
Dangerous Captain|Expert|<a href="Feats.php?Name=Pirate%20Savvy">Pirate Savvy</a>|You may use your <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> skill for new purposes when engaged in <a href="ShipsCombat.php">ship combat</a>. You can fool an enemy captain into second-guessing your intentions, leaving him open to your attack. You make a <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> check as per the <a href="Skills.php?Name=Bluff">Bluff</a> skill opposed by the <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> of the enemy captain (or <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> if he also has the Dangerous Captain feat). If successful, the enemy ship's Defense value is decreased by 2 and no longer benefits from the captain's Commander Bonus (if any).|Use <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> to confuse enemy captains.
Dedicated|General||You are deeply dedicated to a person or cause (and should roleplay this). You have a +4 bonus on <a href="BasicsSavingThrows.php">saving throws</a> and checks against effects that would sway you from your dedication. Whenever you spend a <a href="BasicsConviction.php">Conviction</a> point to re-roll a die roll directly concerning your dedication, the roll is treated as a 20 (but not a natural 20). The Narrator decides when this is appropriate.<br />If you fail or waver in your dedication, you lose the benefits of this feat. You can only regain them by renewing your dedication.|+4 bonus for checks involving the object of your devotion. 
Defensive Roll|Expert||You can evade damage through agility and "rolling" with an attack. You receive a +1 bonus to your Toughness saving throws, but lose your Defensive Roll bonus whenever you are denied your <a href="Combat.php#Dodge">Dodge</a> or unable to take a free action. You can take this feat multiple times and its benefits stack.|+1 Bonus on Toughness saves.
