Name|Damage|CriticalRange|CriticalDamage|DamageType|Range|Size|Cost|Weight|Type|Desscription|
Armoured Gloves|+1|20|+3|Bludgeoning|-|Small|5|1 lb.|Simple|These heavy leather gloves feature steel reinforcements running along the forearms, allowing the wearer to <a href="Combat.php#Parry">parry</a> weapons. Armoured gloves can be used in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat. Armoured gloves cannot be removed from the wearer with a <a href="CombatActions.php?Name=Disarm">disarm</a> attempt. A character wearing armoured gloves is considered to have both hands free for the purposes of <a href="CombatActions.php?Name=Grapple">grappling</a> (unless, obviously, they're holding something else in their hands).</p><p>Because of their bulky nature, armoured gloves inflict a -2 penalty on <a href="Combat.php#AttackBonus">attack rolls</a> and <a href="Combat.php#ManeuverBonus">maneuver rolls</a> with most other weapons while wearing the gloves. Not subject to this penalty are <a href="EquipmentWeapons.php?Name=Bagh%20Nakh">bagh nakh</a>, <a href="EquipmentWeapons.php?Name=Palm%20Claws">palm claws</a> and <a href="EquipmentWeapons.php?Name=Wrist%20Knife">wrist knives</a>. See the section "<a href="EquipmentWeapons.php#CombiningImprovedStrikeWeapons">Combining Improved Strike Weapons</a>".</p><p>A user with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat gains a +2 to their <a href="Combat.php#Parry">Parry</a> when wearing armoured gloves.|
Battleaxe|+3|20|+4|Slashing|-|Med|9|6 lb.|Martial|A heavy-bladed axe that can be wielded with one or two hands. Or three.|
Bagh Nakh|+1|20|+3|Piercing or Slashing|-|Tiny|3|2 lb.|Ninja|Also known as the "tiger's claw" this hand weapon is designed to be held in the fist by placing fingers through individual holes; three or more small spikes or blades curve from the handpiece. The bagh nakh can be used in conjunction with the <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> feat. The bagh nakh grants a +10 bonus to resist <a href="CombatActions.php?Name=Disarm">disarm</a> attempts.A character wearing bagh nakh is considered to have both hands free for the purposes of <a href="CombatActions.php?Name=Grapple">grappling</a> (unless, obviously, they're holding something else in their hands).</p><p>A bagh nakh can be used in combination with <a href="EquipmentWeapons.php?Name=Armoured%20Gloves">armoured gloves</a>, incurring no attack penalty due to the gloves' bulkiness.|
Bladed Scarf|+2|19-20|+3|Slashing|-|Large|7|1 lb.|Exotic|Some natives around the islands insert long sharp blades into gaily decorated scarves, creating easily-concealed and yet deadly weapons. A bladed scarf cannot be used to <a href="Combat.php#Parry">parry</a>.</p><p>A user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (bladed scarf) can strike targets up to 10ft away, and can make <a href="CombatActions.php?Name=Trip">trip</a> attacks against any target with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> feat. This bonus stacks if the user already has that feat.|
Chain Axe|+4|20|+5|Slashing|-|Large|9|20 lb.|Exotic|A fearsome axe head hung from a length of heavy chain, these weapons require great Strength to be used properly. All characters suffer a -2 penalty to attack rolls, offset by Strength &mdash; so that a character with a +2 Strength has no penalty, while a character with -1 Strength has a -3 penalty on their attack rolls. A chain axe cannot be used to <a href="Combat.php#Parry">parry</a>.</p><p>A character with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (chain axe) can use this weapon to strike targets up to 10ft away.|
Chigikiri (flail)|+2|20|+3|Bludgeoning|-|Large|7|8 lb.|Ninja|A sort of a flail made of a three-foot staff with a ball and chain hanging from one end, and a blade on the other, a chigikiri can be used as a Large flail or as a <a href="EquipmentWeapons.php?Name=Chigikiri%20(shortspear)">shortspear</a>. A user with the <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> feat can use the flail end of a chigikiri to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if the user already has those feats. The weapon can also be used as a Medium <a href="EquipmentWeapons.php?Name=Chigikiri%20(shortspear)">shortspear</a>, wielding the blade on the end. The chain actually retracts into the staff for this usage (it is a standard action to extend or retract the chain, unless one has <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a>, in which case it is a move action).|
Chigikiri (shortspear)|+3|19-20|+4|Piercing|-|Med|7|8 lb.|Ninja|A sort of a flail made of a three-foot staff with a ball and chain hanging from one end, and a blade on the other, a chigikiri can be used as a shortspear or a <a href="EquipmentWeapons.php?Name=Chigikiri%20(flail)">Large flail</a>. A user with the <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> feat can use the flail end of a chigikiri to make <a href="CombatActions.php?Name=Trip">trip</a> attacks and to <a href="CombatActions.php?Name=Disarm">disarm</a> opponents with a +2 bonus, like the <a href="Feats.php?Name=Improved%20Trip">Improved Trip</a> and <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feats. Its benefits stack if the user already has those feats. The weapon can also be used as a Medium shortspear, wielding the blade on the end. The chain actually retracts into the staff for this usage (it is a standard action to extend or retract the chain, unless one has <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a>, in which case it is a move action).|
Club|+2|20|+3|Bludgeoning|10 ft.|Med|4|3 lb.|Simple|Any of a number of blunt weapons used to strike, including belaying pins and sturdy tree branches.|
Dino Hook|+1|20|+3|Piercing/Bludgeoning|-|Med|5|4 lb.|Simple|This tool is used in the training of large animals but can also be used as a weapon. It consists of a 2- or 3-foot handle with a metal head (usually bronze or steel) with two pointed tips, one coming straight out of the handle, and the other curving to one side.
Gaff/Hook|+1|20|+3|Piercing|-|Tiny|2|2 lb.|Simple|This metal hook is used by sailors to load and unload ships. Occasonally a prosthetic one is used to replace a severed hand.|
