Name|Description|
Aggressive Stance|You can improve your chances of hitting with an attack by sacrificing your defense. Take up to a -4 penalty on your <a href="Combat.php#BaseDefense">Defense</a> to gain half that amount (up to +2) on your <a href="Combat.php#AttackBonus">attack rolls</a> or <a href="Combat.php#ManeuverBonus">maneuver rolls</a> for that round.|
Area Attack|Some attacks consist of powerful explosions, bursts of energy, or simply chucking really big things at opponents. These area attacks cover a larger area than a normal attack, so they're much harder to avoid.</p><p>An area attack automatically hits an area the attacker can accurately target, filling the area with its effect. Targets in the area get a <a href="Combat.php#SavingThrows">Reflex saving throw</a> against a Difficulty of (10 + attack's bonus or rank). If the save is successful, halve the area attack's rank or bonus (rounding any fractions down) before applying it to the target, which then makes the normal saving throw against the attack. Targets with the <a href="Feats.php?Name=Evasion">Evasion</a> feat suffer no effect if they make their Reflex save. Targets with <a href="Feats.php?Name=Improved%20Evasion">Improved Evasion</a> suffer only half effect even if they fail the save, and no effect if they succeed.</p><p>If you delay or ready a <a href="CombatActions.php?Time=Move">move action</a>, you can try to avoid an area effect entirely. If you move before the attack and have sufficient movement to get out of the area, then you're safe. You must choose how far you move before the Narrator tells you the result of the area attack, so be sure you move far enough!</p><p>You can also spend a <a href="BasicsConviction.php">Conviction point</a> to emulate the <a href="Feats.php?Name=Evasion">Evasion</a> feat for one round, allowing you to suffer no effect from an area attack if you succeed on your Reflex saving throw.|
Autofire Attack|An autofire attack is a volley of multiple shots with a single action. To use an autofire attack against a single target, make your <a href="Combat.php#AttackBonus">attack roll</a> normally. The amount by which your attack roll succeeds applies a bonus to the attack's saving throw Difficulty: +1 per 2 points the attack roll exceeds the target's <a href="Combat.php#BaseDefense">Defense</a>. When using <a href="BasicsStunts.php">a stunt bonus</a> with an autofire attack, the stunt bonus is applied to ALL attack rolls for the autofire attack.</p><p>If a target's defense (involving special resistance or immunity) would normally ignore the attack before any increase in the save Difficulty, then the autofire attack has no effect as usual; a volley of multiple shots is no more likely to penetrate than just one.</p><h3>Multiple Targets</h3><p>You can use autofire to attack multiple targets at once as a full action by "walking" the autofire attack from target to target. Choose a line of 5-foot squares no greater in number than your <a href="Combat.php#AttackBonus">attack bonus</a>. You may make attack rolls to hit targets, one target at a time, starting at one end of the line and continuing to the other end. You suffer a penalty to each of your attack rolls equal to the total number of squares. If you miss one target, you may still attempt to hit the others.</p><h3>Covering Fire</h3><p>An autofire attack can provide cover for an ally. Take a full action and choose an ally in your line of sight, who receives a +4 to their <a href="Combat.php#Dodge">Dodge</a> against enemies in your line of sight and in range of your autofire attack. (You have to be able to shoot at them to get them to keep their heads down or this trick won't work.) You cannot lay down covering fire for an ally in melee. Each character after the first who lays down covering fire for the same individual grants an additional +1  bonus to that individual's <a href="Combat.php#Dodge">Dodge</a>. All covering fire attackers receive a free attack if an opponent chooses to ignore the <a href="Combat.php#Dodge">Dodge</a> bonus granted to the protected target.</p><h3>Suppression Fire</h3><p>An autofire attack can lay down a volley to force opponents to seek cover. Take a full-round action and choose an opponent, who receives a -4 penalty to <a href="Combat.php#AttackBonus">attack rolls</a>, <a href="Combat.php#ManeuverBonus">maneuver rolls</a> and checks for one round while in your line of sight and in range of your attack. An opponent who chooses not to seek cover ignores the attack modifier from suppression fire, but is automatically attacked (a free action for you). You cannot lay down suppression fire on an opponent in melee. Each character after the first who lays down suppression fire for the same target imposes an additional -1 penalty. All suppression fire attackers receive a free attack if the target fails to take cover or otherwise get out of their sight.|
Conditions|Generally speaking, any situational modifier created by the attacker's position or tactics applies to <a href="Combat.php#AttackBonus">attack roll</a> or <a href="Combat.php#ManeuverBonus">maneuver roll</a>, while any situational modifier created by the defender's position, state, or tactics applies to the defender's <a href="Combat.php#BaseDefense">Defense</a> or <a href="Combat.php#ManeuverBonus">maneuver difficulty</a>. The Narrator judges what bonuses and penalties apply, using the Combat Modifiers table as a guideline.</p><h3>Table: Combat Modifiers</h3><table width="50%"><th colspan=3 style="text-align:center">ATTACK MODIFIER</th><tr class="odd-row"><td><b>Attacker is...</b></td><td class="center"><b>Melee</b></td><td class="center"><b>Ranged</b></td></tr><tr><td><a href="PlayingConditions.php?Name=Dazzled">Dazzled</a></td><td class="center">-1</td><td class="center">-1</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Entangled">Entangled</a></td><td class="center">-2</td><td class="center">-2</td></tr><tr><td>On higher ground</td><td class="center">+1</td><td class="center">+0</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Prone">Prone</a></td><td class="center">-4</td><td class="center">+0</td></tr><tr><td><a href="PlayingConditions.php?Name=Shaken">Shaken</a></td><td class="center">-2</td><td class="center">-2</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Sickened">Sickened</a></td><td class="center">-2</td><td class="center">-2</td></tr></table><p>&nbsp;</p><table class="last-row" width="50%"><th colspan=4 style="text-align:center">DEFENSE MODIFIER</th><tr class="odd-row"><td><b>Defender is...</b></td><td class="center"><b>Melee</b></td><td class="center"><b>Ranged</b></td><td class="center"><b>Dodge Bonus?</b></td></tr><tr><td><a href="CombatModifiers.php?Name=Cover">Behind cover</a></td><td class="center">+4</td><td class="center">+4</td><td class="center">Yes</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Blinded">Blinded</a></td><td class="center">-2</td><td class="center">-2</td><td class="center">No</td></tr><tr><td><a href="CombatModifiers.php?Name=Concealment">Concealed</a></td><td class="center">Special</td><td class="center">Special</td><td class="center">Yes</td></tr><tr class="odd-row"><td><a href="CombatActions.php?Name=Total%20Defense">Using Total Defense</a></td><td class="center">+4</td><td class="center">+4</td><td class="center">Yes</td></tr><tr><td><a href="PlayingConditions.php?Name=Entangled">Entangled</a></td><td class="center">-2</td><td class="center">-2</td><td class="center">No</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Flat-Footed">Flat-footed</a></td><td class="center">+0</td><td class="center">+0</td><td class="center">No</td></tr><tr><td><a href="PlayingConditions.php?Name=Grappled">Grappled</a></td><td class="center">+0</td><td class="center">+0</td><td class="center">No</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Helpless">Helpless</a></td><td class="center">-9</td><td class="center">-4</td><td class="center">No</td></tr><tr><td>Kneeling or sitting</td><td class="center">-2</td><td class="center">+2</td><td class="center">Yes</td></tr><tr class="odd-row"><td><a href="CombatActions.php?Name=Move%20All%20Out">Moving all out</a></td><td class="center">+0</td><td class="center">+0</td><td class="center">No</td></tr><tr><td><a href="PlayingConditions.php?Name=Pinned">Pinned</a></td><td class="center">-4</td><td class="center">-4</td><td class="center">No</td></tr><tr class="odd-row"><td><a href="PlayingConditions.php?Name=Prone">Prone</a></td><td class="center">-4</td><td class="center">+4</td><td class="center">Yes</td></tr><tr><td><a href="PlayingConditions.php?Name=Stunned">Stunned</a></td><td class="center">-2</td><td class="center">-2</td><td class="center">No</td></tr></table>|
Cover|Taking cover behind a wall, tree, or other obstacle provides a +4 bonus to <a href="Combat.php#BaseDefense">Defense</a>. Cover is measured relative to the attacker. For example, hiding behind a low wall provides no cover against an opponent hovering above you, but does provide cover against an opponent on the other side of the wall.</p><h3>Cover and Reflex Saves</h3><p>Cover grants you a +2 bonus on Reflex saves against attacks originating from a point on the other side of the cover from you.</p><h3>Cover and Stealth Checks</h3><p>You can use cover to make a <a href="Skills.php?Name=Stealth">Stealth</a> check to avoid being seen. Without cover, you need concealment to make a <a href="Skills.php?Name=Stealth">Stealth</a> check.</p><h3>Total Cover</h3><p>If you cannot draw a line between you and a target without intersecting cover, the target has total cover. You can't make an attack against a target with total cover.</p><h3>Varying Degrees of Cover</h3><p>In some cases, cover may provide a greater bonus to <a href="Combat.php#BaseDefense">Defense</a> and Reflex saves. In such situations, the normal cover bonuses to <a href="Combat.php#BaseDefense">Defense</a> and Reflex saves can be doubled (to +8 and +4, respectively). A creature with this improved cover gains a +10 bonus on Stealth checks.</p><h3>Striking Cover</h3><p>If it ever becomes important to know whether the cover was actually hit by an incoming attack, the Narrator should determine if the attack roll would have hit the protected target without the cover. If the attack roll falls within a range low enough to miss the target with cover but high enough to hit the target if there had been no cover, the cover is hit. This can be particularly important to know in cases when a character uses another character as cover.</p><p>In such a case, if the cover is struck and the attack roll exceeds the <a href="Combat.php#BaseDefense">Defense</a> of the covering character, the covering character takes the damage intended for the target. If the attack roll is lower than the <a href="Combat.php#BaseDefense">Defense</a> of the covering character, but higher than the <a href="Combat.php#BaseDefense">Defense</a> of the covered character, the original target is hit instead. The covering character avoided the attack and didn't provide cover after all! Covering characters can voluntarily lower defense bonus to ensure they provide cover.|
Concealment|Concealment includes circumstances where nothing physically blocks an attack, but something interferes with the attacker's accuracy. Typically, concealment is provided by things like fog, smoke, shadows, darkness, foliage, and so forth.</p><h3>Concealment Miss Chance</h3><p>Concealment gives the subject of a successful attack a 20% chance (a roll of 17 or higher on d20) that the attacker missed because of the concealment. If the attack roll hits, the defender makes a miss chance roll to avoid being struck. Multiple concealment conditions do not stack.</p><h3>Concealment and Stealth Checks</h3><p>You can use concealment to make a <a href="Skills.php?Name=Stealth">Stealth</a> check to avoid being seen. Without concealment, you usually need cover to make a <a href="Skills.php?Name=Stealth">Stealth</a> check.</p><h3>Total Concealment</h3><p>A target you cannot perceive with any of your accurate senses has total concealment from you. You can't directly attack an opponent with total concealment, though you can attack into the area you think he occupies. A successful attack into an area occupied by a target with total concealment has a 50% miss chance (a d20 roll of 11 or higher).</p><h3>Ignoring Concealment</h3><p>Concealment isn't always effective. Characters with <a href="Feats.php?Name=Night%20Vision">Night Vision</a> can see clearly for a greater distance with the same light source than other characters, for example.</p><h3>Table: Concealment</h3><table class="last-row"><th>Concealment</th><th>Example</th><th>Miss Chance</th><tr class="odd-row"><td>Partial</td><td>Fog; moderate darkness; foliage; precipitation</td><td>17 or higher</td></tr><tr><td>Total</td><td>Total darkness; invisibility; attacker blind; dense fog</td><td>11 or higher</td></tr></table>|
Defensive Stance|You improve your <a href="Combat.php#BaseDefense">Defense</a> by sacrificing accuracy. Take a penalty of up to -4 on your <a href="Combat.php#AttackBonus">attack rolls</a> or <a href="Combat.php#ManeuverBonus">maneuver rolls</a> to gain half that amount (up to +2) as a bonus to your <a href="Combat.php#BaseDefense">Defense</a> for that round.|
Finesse Attack|Most attacks rely on sheer power to overcome the Toughness of a target's armor. Finesse attacks target the weak points of an opponent's defenses. Characters can normally make finesse attacks only with <a href="EquipmentWeapons.php?Range=Melee">melee weapons</a>. Characters with the <a href="Feats.php?Name=Improved%20Precise%20Shot">Improved Precise Shot</a> feat can also make finesse attacks with <a href="EquipmentWeapons.php?Range=Ranged">ranged weapons</a>, so long as they are within one range increment of their target.</p><p>To make a finesse attack, increase the Difficulty of your <a href="Combat.php#AttackBonus">attack roll</a> by an amount equal to the Toughness bonus of your opponent's <a href="EquipmentArmor.php">armor</a>. If your attack hits, the target does not get the armor's bonus on the Toughness save; the attack bypasses it altogether. If your attack roll fails, however, your attack glances harmlessly off the target's armor or, if you would have missed the target's normal <a href="Combat.php#BaseDefense">Defense</a>, misses entirely.</p><p>Creatures immune to critical hits are also immune to finesse attacks; their Toughness doesn't have any significant weak points to exploit. Also note that finesse attacks only affect the Toughness bonuses from armor and similar defenses. The natural Toughness bonuses from Constitution and creature type are unaffected.|
Ganging Up|Typically, up to eight attackers can gang up on an individual target, provided they have room to maneuver. If the defender can fight side by side with allies, back into a corner, fight through a doorway, and so forth, attackers can't gang up as easily.</p><p>Picture the eight attackers as evenly spaced out surrounding the defender. The defender can reduce the opportunity for attackers to gang up based on how much of the area around himself he can block off. Backed against a wall, a character only allows five attackers to get at him. Backed into a corner, only three attackers can get at him at a time. If the defender is standing in a doorway, the opponent in front of him can attack normally and one opponent on either side can attack as well, but the defender benefits from <a href="CombatModifiers.php?Name=Cover">cover</a>. If the defender is fighting in a 5-foot-wide corridor, only one attacker can get at him (unless attackers are coming at him from both directions).</p><p>The above rules are for medium and small characters. Larger characters present room for more attackers to get at them and combatants with <a href="EquipmentWeapons.php?Range=Ranged">ranged weapons</a> can get at defenders more easily.|
Helpless Defenders|A <a href="PlayingConditions.php?Name=Helpless">helpless</a> foe &mdash; bound, sleeping, <a href="PlayingConditions.php?Name=Unconscious">unconscious</a>, or otherwise at your mercy &mdash; is an easy target. You sometimes can approach a target unawares and treat the opponent as <a href="PlayingConditions.php?Name=Helpless">helpless</a> if the Narrator allows.</p><h3>Coup de Grace</h3><p>As a full-round action, you can deliver a coup de grace to a <a href="PlayingConditions.php?Name=Helpless">helpless</a> opponent adjacent to you. You automatically hit and score a <a href="Combat.php#Damage">critical hit</a>. If the defender takes damage but is not <a href="PlayingConditions.php?Name=Unconscious">unconscious</a> or <a href="PlayingConditions.php?Name=Dying">dying</a>, he must make a Fortitude save (Difficulty 10 + damage bonus) or be <a href="PlayingConditions.php?Name=Unconscious">unconscious</a> (for a non-lethal attack) or <a href="PlayingConditions.php?Name=Dying">dying</a> (for a lethal attack). You can't deliver a coup de grace against a target immune to critical hits. You can deliver a coup de grace against a target with total <a href="CombatModifiers.php?Name=Concealment">concealment</a>, but doing this requires two consecutive full-round actions (one to feel around and accurately perceive the target and another to deliver the coup de grace).|
Mounted Combat|Your mount acts on your initiative as you direct it. You move at its speed, but the mount uses its action to move. (You can take move actions, like drawing your weapon, normally.) Without you to guide it, your mount avoids combat.</p><h3>Combat while Mounted</h3><p>With a Difficulty 5 <a href="Skills.php?Name=Ride">Ride</a> check, you can guide your mount with your knees so as to use both hands to attack or defend yourself. This is a free action. When you attack a creature that is smaller than your mount and is on foot, you get the +1 bonus on melee attacks for being on higher ground.</p><p>If your mount <a href="CombatActions.php?Name=Charge">charges</a> you also take the -2 <a href="Combat.php#BaseDefense">Defense</a> penalty associated with a <a href="CombatActions.php?Name=Charge">charge</a>. If you make an attack at the end of the <a href="CombatActions.php?Name=Charge">charge</a>, you receive the bonus gained from the <a href="CombatActions.php?Name=Charge">charge</a>. When charging mounted, you deal +3 damage with a lance.</p><p>You can use <a href="EquipmentWeapons.php?Range=Ranged">ranged weapons</a> while your mount is taking a double move, but at a -4 penalty on the attack roll. You can use  <a href="EquipmentWeapons.php?Range=Ranged">ranged weapons</a> while your mount is moving all out as well, but at a -8 penalty. In either case, you make the attack roll when your mount has completed half its movement.</p><h3>Using Powers While Mounted</h3><p>You can use <a href="Powers.php">powers</a> normally if your mount moves up to a normal move (its speed) either before or after you use the power. If you have your mount move both before and after you use a power, then you have to make a <a href="Skills.php?Name=Concentration">Concentration</a> check due to the vigorous motion (Difficulty 10) to successfully use the power. If the mount is moving all out, you can use powers when the mount has moved up to twice its speed, but your <a href="Skills.php?Name=Concentration">Concentration</a> check is Difficulty 15.</p><h3>If Your Mount Falls in Battle</h3><p>If your mount falls, you have to succeed on a Difficulty 15 <a href="Skills.php?Name=Ride">Ride</a> check to make a soft fall and take no damage. If the check fails, you take +2 lethal damage.</p><h3>If You Are Dropped</h3><p>If you are knocked <a href="PlayingConditions.php?Name=Unconscious">unconscious</a>, you have a 50 percent chance (a roll of 11 or better) to stay in the saddle (6 or better if you're in a military saddle). Otherwise you fall and take +2 lethal damage.|
Surprise Attack|An attack may come from an unexpected quarter. An attack that catches the target off-guard in some way is called a surprise attack. To make a surprise attack, you must catch your target unawares. You can make a surprise attack in the following situations:</p><ul>	<li>When you have total <a href="CombatModifiers.php?Name=Concealment">concealment</a> from your target or the target otherwise hasn't noticed your presence.</li>	<li>When you use an interaction skill to <a href="CombatActions.php?Name=Feint">feint in combat</a>.</li>	<li>When your target is <a href="PlayingConditions.php?Name=Stunned">stunned</a>.</li>	<li>When you surprise a target at the beginning of combat.</li>	<li>When you do something unexpected (in the Narrator's judgment).</li></ul><p>Characters with the <a href="Feats.php?Name=Uncanny%20Dodge">Uncanny Dodge</a> feat cannot be surprise-attacked so long as they are capable of taking free actions (not stunned or helpless).</p><p>The target of a surprise attack cannot use their <a href="Combat.php#Dodge">Dodge</a> or <a href="Combat.php#Parry">Parry</a>.|
Two-Weapon Fighting|If you wield a second weapon in your off hand, you can get one extra attack per round with that weapon. You suffer a -6 penalty with your regular attack or attacks with your primary hand and a -10 penalty to the attack with your off hand when you fight this way. You can reduce these penalties in two ways:</p><ul><li>If your off-hand weapon is light, penalties are reduced by 2 each. (An unarmed strike is always considered a light weapon.)</li><li>The <a href="Feats.php?Name=Two-Weapon%20Fighting">Two-Weapon Fighting</a> feat lessens the primary hand penalty by 4, and the off-hand penalty by 6 (to -2 and -4, or +0 and -2 if the off-hand weapon is light).</li></ul><p>If you attack the same target with both attacks and both hit, increase the damage of the attack with the higher damage bonus by +2, much like a use of <a href="CombatActions.php?Name=Combined%20Attack">combined attack</a>.</p><p>The same rules apply for throwing two weapons (one with either hand) or wielding two ranged weapons, one in each hand.|
