Name|Fatiguing|Concentration|Maintenance|Mental Contact|Prerequisites|Description|Try Again|Action|
Animate Object|Fatiguing||Maintenance|||You can cause objects to come to life, gift them with perception and limited intelligence, making them independent entities under your control. They remain animated for a number of rounds equal to your power ranks after you stop maintaining the power.</p><p>You may only animate as many levels of animated objects as you have power ranks per use of Animate Object. No matter how many times you use this power, you can control only twice your power ranks in animated object levels. If you exceed this, all newly created objects fall under your control, and any excess from previous castings become inert. You choose which objects are released from your spell.</p><p>This power does not, however, give objects any capacity to move beyond what they already possess &mdash; that is, a cart could roll itself in one direction or another, a door could swing back and forth on its hinges, but a bench could not do anything unless it had jointed legs. Such simple animated objects have limited abilities. The level of each simple object is determined by its size:</p><table width="300px"><th>Size</th><th class="center">Level</th><tr class="odd-row"><td>Tiny or Smaller</td><td class="center">1/2</td></tr><tr><td>Small</td><td class="center">2nd</td></tr><tr class="odd-row"><td>Medium</td><td class="center">4th</td></tr><tr><td>Large</td><td class="center">7th</td></tr><tr class="odd-row"><td>Huge</td><td class="center">10th</td></tr><tr><td>Gargantuan</td><td class="center">15th</td></tr><tr class="odd-row"><td>Colossal</td><td class="center">20th</td></tr></table><p><b>Speed:</b> An object that has jointed limbs or wheels, or a creature that is made of some flexible material, gains the ability to move. The speed of such creatures is determined by comparing their mode of locomotion to their size:</p><table class="last-row" width="600px"><th>Size</th><th class="center">2-3 Legs</th><th class="center">4 or more legs</th><th class="center">Wheels</th><th class="center">Flexible</th><tr class="odd-row"><td>Tiny or smaller</td><td class="center">30 ft.</td><td class="center">40 ft.</td><td class="center">50 ft.</td><td class="center">20 ft.</td></tr><tr><td>Small-Medium</td><td class="center">25 ft.</td><td class="center">30 ft.</td><td class="center">40 ft.</td><td class="center">15 ft.</td></tr><tr class="odd-row"><td>Large-Huge</td><td class="center">20 ft.</td><td class="center">25 ft.</td><td class="center">30 ft.</td><td class="center">10 ft.</td></tr><tr><td>Gargantuan-Colossal</td><td class="center">15 ft.</td><td class="center">20 ft.</td><td class="center">25 ft.</td><td class="center">5 ft.</td></tr></table><p><b>Abilities:</b> Simple animated objects have no Intelligence or Constitution scores, and have Wisdom and Charisma scores of -5. They gain Strength and Dexterity scores depending on their size:</p><table width="250px"><th>Size</th><th class="center">Str</th><th class="center">Dex</th><tr class="odd-row"><td>Tiny or smaller</td><td class="center">-2</td><td class="center">+2</td></tr><tr><td>Small</td><td class="center">-1</td><td class="center">+1</td></tr><tr class="odd-row"><td>Medium</td><td class="center">0</td><td class="center">0</td></tr><tr><td>Large</td><td class="center">+2</td><td class="center">-1</td></tr><tr class="odd-row"><td>Huge</td><td class="center">+4</td><td class="center">-2</td></tr><tr><td>Gargantuan</td><td class="center">+6</td><td class="center">-3</td></tr><tr class="odd-row"><td>Colossal</td><td class="center">+8</td><td class="center">-4</td></tr></table><p><b>Skills and Feats:</b> Simple animated objects gain no skills and no feats.</p><p><b>Traits:</b> Depending on their form, simple animated objects may gain one or more of the following traits:</p><p><i>Alternate Forms of Movement:</i> Objects might have additional modes of movement. A wooden object can float and may be able to propel itself, giving it a swim speed. A rope or similar sinuous object has a climb speed equal to half its land speed. A sheet-like object can fly (clumsy maneuverability) at half its normal speed.</p><p><i>Blind:</i> A sheet-like object such as a carpet or tapestry can grapply an opponent up to three sizes larger than itself. The object makes a normal <a href="CombatActions.php?Name=Grapple">grapple check</a>. If successful, it wraps itself around the opponent's head, causing that creature to be blinded until removed.</p><p><i>Constrict:</i> A flexible animated object such as a rope, vine or rug deals damage equal to its unarmed damage value plus its Strength score (if positive) with a successsful <a href="CombatActions.php?Name=Grapple">grapple check</a> against a creature up to one size larger than itself.</p><p>A creature of at least Large size can make constriction attacks against multiple creatures at once, if they all are at least two sizes smaller than the object and can ft under it.</p><p><i>Trample:</i> An animated object of at least Large size and with a hardness of at least 10 can trample creatures two or more sizes smaller than itself, dealing damage equal to the object's unarmed damagae plus 1-1/2 times it Strength score if positive). Opponents can attempt Reflex saves (Difficulty 10 + 1/2 object's level + object's Str) to halve the damage.</p><p><b>Combat:</b> Simple animated objects gain no combat bonus. They deal damage depending on their size:</p><table width="300px"><th>Size</th><th class="center">Unarmed Damage</th><tr class="odd-row"><td>Tiny or smaller</td><td class="center">+0</td></tr><tr><td>Small</td><td class="center">+1</td></tr><tr class="odd-row"><td>Medium</td><td class="center">+2</td></tr><tr><td>Large</td><td class="center">+3</td></tr><tr class="odd-row"><td>Huge</td><td class="center">+4</td></tr><tr><td>Gargantuan</td><td class="center">+6</td></tr><tr class="odd-row"><td>Colossal</td><td class="center">+8</td></tr></table><p><b>Saving Throws:</b> Simple animated objects have good Fortitude saves, poor Reflex saves and poor Will saves (of course, having no Constitution, they automatically fail all Fortitude saves anyway). They have a Toughness save based on the material they are made out of adjusted for their size.</p><p><h5>Sophisticated Animated Objects</h5><p>Creating sophisticated objects capable of moving quickly or attacking effectively requires a Craft (mechanics) check. Such objects are considered <a href="CreaturesTemplates.php?Name=Clockwork%20Creature">clockwork creatures</a> and you must create or find them in order to use them. For the purposes of a Craft check, clockwork creatures are Complex objects, requiring a Difficulty 25 Craft check, but in addition, the creature's level is added to the Difficulty, so the Difficulty is 25 + creature level.||Full-Round|
Beast Link|Fatiguing|Concentration||||You can forge a mental connection with an animal, allowing you to perceive what it perceives, using its senses. Make a power check with a Difficulty of 10, modified by <a href="PowersUsing.php#Familiarity">familiarity</a>. If successful, you have mental contact with the animal, meaning you can perceive with the animal's senses and communicate with it mentally. The animal is not under your command, nor can you speak with it as though it were sentient, but you may be able to convince it, using <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a> or various supernatural powers, to do things for you. The link remains until either you dispel it or the current scene ends.<p><b>Mental Grapple:</b> With the Beast Link power you can attempt to <a href="CombatActions.php?Name=Mental%20Grapple">mentally grapple</a> an animal. You can attempt to freeze them in place or even drive them unconscious with your Beast Link power.</p><p><b>Deathcry:</b> If a creature you are in mental contact with dies, you must make a Will saving throw or <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a> check (Difficulty 20) to avoid being dazed for 1 round by the psychic feedback and trauma.||Move|
Bind Spirit|Fatiguing|||||You can attempt to bind a spirit you have summoned (see <a href="Powers.php?Name=Summon%20Spirit">Summon Spirit</a>) into a fetish you have prepared. You make a power check at a Difficulty equal to 15 + the spirit's level. If successful, the spirit must make a Will saving throw against your Save Difficulty to avoid being bound into the fetish. If the spirit succeeds on its Will save, it may attack you or flee, and it remains in the world for a number days equal to your power ranks. If the spirit fails its save, it becomes bound to the fetish.</p><p>As long as the fetish remains undamaged, the holder may call forth the spirit, command it, and dismiss it. No Diplomacy or Intimidate check is required; the spirit automatically obeys commands from whoever called it forth. When dismissed, the spirit disappears completely until called forth again. If the fetish suffers damage sufficient to render it "disabled" the spirit is freed and may choose its own actions (usually revenge on whoever trapped it) for a number of days equal to the power ranks of the character who first bound it.</p><p><b>Superior Fetish:</b> A well-made fetish increases the Difficulty of the Will save the spirit must make. The quality of the fetish is determined by the <a href="Skills.php?Name=Craft">Craft</a> check of the maker. A <a href="Skills.php?Name=Craft">Craft</a> result of at least 15 is required to make the most basic fetish suitable for binding a spirit. For every 5 points the <a href="Skills.php?Name=Craft">Craft</a> check exceeds 15, the Difficulty of the Will save increases by one.||Full-Round|
Body Control|||Maintenance|||You have great mental control over your body. You can make a Body Control check for a number of different tasks summarized on the following table.</p><table class="last-row" width="600px"><th>Task</th><th class="center">Difficulty</th><tr class="odd-row"><td>Sleep normally despite distractions</td><td class="center">5</td></tr><tr><td>Sleep normally despite difficult distractions</td><td class="center">10 </td></tr><tr class="odd-row"><td>Slow breathing to half normal rate</td><td class="center">10 </td></tr><tr><td>Ignore pain or injury</td><td class="center">15</td></tr><tr class="odd-row"><td>Body awareness</td><td class="center">15</td></tr><tr><td>Resist fear</td><td class="center">15</td></tr><tr class="odd-row"><td>Speed recovery</td><td class="center">15</td></tr><tr><td>Slow breathing to one-quarter normal rate</td><td class="center">15</td></tr><tr class="odd-row"><td>Willpower</td><td class="center">15</td></tr><tr><td>Feign death</td><td class="center">20</td></tr><tr class="odd-row"><td>Overcome disease</td><td class="center">Disease's Save Difficulty</td></tr><tr><td>Overcome poison</td><td class="center">Poison's Save Difficulty</td></tr></table><p>&nbsp;</p><p><b>Sleeping:</b> A successful Body Control check allows you to sleep in difficult conditions, including bad weather, noise, buzzing insects, and so forth.</p><p><b>Slow Breathing:</b> You can deliberately slow your rate of breathing so that you consume less air, vital in situations where there is a limited amount of breathable air available.</p><p><b>Ignore Pain or Injury:</b> You can ignore the effects of pain or injury while awake or asleep. If you choose, nothing can wake you, as long as you make a successful Body Control check.</p><p><b>Body Awareness:</b> You can become very aware of your body while asleep or concentrating. This allows you to sense if you are touched or moved in any way while using <a href="Powers.php?Name=Scrying">Scrying</a>, for example. If you are damaged, subtract the attack's damage bonus from the Difficulty of the Body Control check.</p><p><b>Resist Fear:</b> You can override your body's natural response to fear. With a successful Body Control check, you gain a new saving throw against any fear effect, with a +4 bonus.</p><p><b>Speed Recovery:</b> You can speed your natural healing process, gaining a <a href="CombatDamage.php#Recovery">recovery check</a> in half the normal time, so long as you spend that time in a deep, healing trance.</p><p><b>Willpower:</b> With a Difficulty 15 Body Control check, you can continue to act while <a href="PlayingConditions.php?Name=Disabled">disabled</a> without your condition worsening to <a href="PlayingConditions.php?Name=Dying">dying</a>. You still suffer additional damage normally. You can still spend multiple <a href="BasicsConviction.php">Conviction points</a> in a round while <a href="PlayingConditions.php?Name=Disabled">disabled</a>.</p><p><b>Feign Death:</b> By exerting supreme control over your body, you can enter a deep trance almost indistinguishable from death. A <a href="Skills.php?Name=Notice">Notice</a> check with a Difficulty equal to your Body Control check is required to determine whether you are still alive. Effects that detect life still work on you. While in this state, you also suspend the effects of any disease or poison in your system for as long as you remain in the trance.</p><p><b>Overcome Disease or Poison:</b> By concentrating for a full round, you can substitute your Body Control check for your Fortitude saving throw against a disease or poison in your system. This usually means you can only use Body Control against the secondary effects of a disease or poison, unless it is slow acting and you are warned soon enough to use Body Control to resist the initial effects (in the Narrator's judgment).||Full-Round |
Cloud Minds|Fatiguing|Maintenance||||You make yourself completely undetectable another creature (no matter what sense they are using), by erasing all awareness of your presence from their minds. This power has the following effects.</p><p>First, you are invisible and inaudible to any subjects failing a Will save against your Cloud Minds power. They cannot detect your presence by any means, including the use of supernatural powers.</p><p>Second, the subjects remain unaware of your actions, provided you do not make any attacks or cause any obvious or directly threatening changes in the subjects' environment. If you attack a subject, the effect ends for that subject. If you take an action creating a sustained and obvious change in the subject's environment &mdash; for example, attacking a creature aside from the subject or moving a large or attended object the subject can see &mdash; the subject immediately gains a new saving throw. An ally of the subject able to see or perceive you can use a move action to warn the subject, granting an immediate new saving throw.||Standard|
Cold Shaping|Fatiguing||Maintenance|||You can freeze things with the power of your mind. With a Difficulty 15 Cold Shaping check, you can lower the temperature of an area about a foot across, enough to deal cold damage. A targeted creature makes a Fortitude save against your power, with a failed save resulting in a level of fatigue, just like <a href="PlayingHazards.php#Cold">exposure to a cold environment</a>. Protective clothing has no effect.</p><p>You can freeze roughly a gallon of water into solid ice in a round. For every 2 points your check exceeds the Difficulty, you affect an additional cubic foot (or gallon of liquid).</p><p>You can also decrease the size and damage potential of a fire by 1 point and 1 square foot for every 2 points your Cold Shaping check exceeds Difficulty 10. A fire reduced to a size or damage potential of 0 or less goes out.  This requires a Cold Shaping check with Difficulty 12 for a normal square foot flame. Otherwise, the reduction in the fire requires maintenance.||Standard|
Combat Sense|Fatiguing|||||You can improve your ability in combat by sensing the flow of events around you. A Combat Sense check grants you a bonus to either your <a href="Combat.php#BaseDefense">base defense</a>, your <a href="Combat.php#AttackBonus">attack bonus</a>, or your <a href="Combat.php#ManeuverBonus">maneuver bonus</a> (see the accompanying table). Each round you can split the bonus between your <a href="Combat.php#BaseDefense">base defense</a>, your <a href="Combat.php#AttackBonus">attack bonus</a>, or your <a href="Combat.php#ManeuverBonus">maneuver bonus</a> as you see fit.</p><table width="300px"><th class="center">Result</th><th class="center">Combat Bonus</th><tr class="odd-row"><td class="center">Up to 4</td><td class="center">+1</td></tr><tr><td class="center">5-14</td><td class="center">+2</td></tr><tr class="odd-row"><td class="center">15-24</td><td class="center">+3 </td></tr><tr><td class="center">25-34</td><td class="center">+4</td></tr><tr class="odd-row"><td class="center">35+</td><td class="center">+5</td></tr></table><p>Combat Sense lasts for one round per rank.||Move|
Cure|Fatiguing|||||You can heal injuries by touch. With a full-round action, you can grant a subject an immediate <a href="CombatDamage.php#Recovery">recovery check</a> using your Cure check result in place of their Constitution check. If the <a href="CombatDamage.php#Recovery">recovery check</a> fails, you must wait the normal recovery time for that condition or take a <a href="PlayingConditions.php?Name=Bruised">Bruised</a> condition before trying again. You can stabilize a <a href="PlayingConditions.php?Name=Dying">dying</a> character with a Difficulty 10 Cure check.</p><p>You can use Cure on yourself. You can't cure your own <a href="PlayingConditions.php?Name=Staggered">staggered</a> or <a href="PlayingConditions.php?Name=Unconscious">unconscious</a> conditions or stabilize yourself while dying, since you have to be conscious and able to take a full-round action to use Cure. You can use Cure on your own <a href="PlayingConditions.php?Name=Disabled">disabled</a> conditions, but doing so is a strenuous action. If your <a href="CombatDamage.php#Recovery">recovery check</a> is successful, you suffer no ill effects. If it is not, however, your condition worsens to <a href="PlayingConditions.php?Name=Dying">dying</a>.|See above. Otherwise you can retry freely.|Full-Round|
Dominate|Fatiguing||Concentration|Mental Contact||You can mentally control another creature's actions. The target makes a Will saving throw. If the save fails, you control the target's actions while you concentrate and maintain mental contact. You can force the subject to perform any action you wish, within the limits of his abilities. You're generally aware of what the subject experiences via your mental link, but you do not receive direct sensory impressions from him. Subjects forced to take actions against their natures receive a new saving throw with a bonus of +1 to +4, depending on the nature of action. A successful save breaks your control.</p><p><i>Puppet:</i> By taking a -5 penalty on your save Difficulty, you can direct your victim's actions more precisely. You can compel your victim can take physical actions using your skill ranks or your combat bonus, along with any bonuses you have from feats. Your victim does not gain any of your basic abilities, nor can they use any of your supernatural powers. You must be able to see your victim in order to direct their actions in this manner. Anyone observing both you and the victim can make a <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> check (opposed by your <a href="Skills.php?Name=Bluff">Bluff</a> check, if you are attempting to conceal your powers) to realise that you are directing the victim's actions.||Dominate is a full-round action.|
Drain Vitality||||||You can drain someone's vital energy by touch. The target makes a Will save. If they fail their save, they take a <a href="PlayingConditions.php?Name=Bruised">Bruised</a> condition, while you make a successful Recovery check (thus removing your worst level of damage). You cannot drain targets further once they are <a href="PlayingConditions.php?Name=Unconscious">unconscious</a>.||Drain Vitality is a standard action. |
