Name|Damage|CriticalRange|CriticalDamage|DamageType|Range|Size|Cost|Weight|Type|Description|
Atlatl|+2|19-20|+4|Piercing|40 ft.|Med|3|1 lb.|Exotic|Used in conjunction with a standard <a href="EquipmentWeapons.php?Name=Javelin">javelin</a>, the atlatl is a three-foot-long handle in which the <a href="EquipmentWeapons.php?Name=Javelin">javelin</a> is placed, to be hurled with much greater force than is possible by hand alone.|
Blowgun|+0|20|+1|Piercing|20 ft.|Med|2|2 lb.|Exotic|Little more than a long hollow tube, a blowgun fires darts that do negligible damage, but are ideal for delivering <a href="EquipmentPoisons.php">poisons</a> to unwitting targets. A typical blowgun is three feet long.</p><p>A blowgun is both an Exotic weapon and a Ninja weapon. It can be chosen as an <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a>, and is included in <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a>.|
Blowgun|+0|20|+1|Piercing|20 ft.|Med|2|2 lb.|Ninja|Little more than a long hollow tube, a blowgun fires darts that do negligible damage, but are ideal for delivering <a href="EquipmentPoisons.php">poisons</a> to unwitting targets. A typical blowgun is three feet long.</p><p>A blowgun is both an Exotic weapon and a Ninja weapon. It can be chosen as an <a href="Feats.php?Names>Exotic Weapon Training</a>, and is included in <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a>.|
Bolo|-|-|-|-|40 ft.|Small|3|2 lb.|Exotic|A bolo is a set of weighted cords intended to entangle an opponent. If the bolo hits, the target makes a Difficulty 14 Reflex save. A failed save means the target is <a href="PlayingConditions.php?Name=Entangled">entangled</a>.|
Bow, long|+3|20|+4|Piercing|100 ft.|Large|10|3 lb. + 3 lb./20 arrows|Martial|Bows add their wielder's Strength to their damage, although most bows are only designed for Strength scores up to +5.|
Bow, short|+2|20|+4|Piercing|60 ft.|Med|10|2 lb. + 3 lb./20 arrows|Martial|Bows add their wielder's Strength to their damage, although most bows are only designed for Strength scores up to +5.|
Chakram|+2|20|+4|Slashing|20 ft.|Small|6|1 lb.|Exotic|A ring of gleaming steel with a sharp outer edge, a chakram can be a deadly weapon in skilled hands. A user with <a href="Feats.php?Name=Exotic%20Weapon%20Training">Exotic Weapon Training</a> (chakram) can cause the chakram to return to their hand after each throw, ready for use again the next round. An attack with a chakram that fails to beat a 5, however, flies askew and does not return, and must be fetched before it can be used again. A user with the <a href="Feats.php?Name=Chakram%20Tricks">Chakram Tricks</a> feat can use their weapon for certain trick shots.|
Crossbow, heavy|+3|20|+3|Piercing|120 ft.|Med|11|8 lb. + 1 lb./10 bolts|Simple|A simple mechanical weapon that pretty much anyone can figure out, the crossbow is nonetheless deadly. Your Strength does not apply to damage rolls when you use a crossbow.|
Crossbow, light|+2|20|+3|Piercing|80 ft.|Med|10|4 lb. + 1 lb./10 bolts|Simple|A simple mechanical weapon that pretty much anyone can figure out, the crossbow is nonetheless deadly. Your Strength does not apply to damage rolls when you use a crossbow.|
Dart|+1|20|+2|Piercing|20 ft.|Tiny|3|1/2 lb.|Simple|Sometimes you're having a quiet game with some friends, and in come ninjas. Or dinosaurs. Or whatever. Bullseyes count double!|
Flintlock Pistol|+3|20|+4|Ballistic|20 ft.|Small|16|2 lb.|Martial|Reloading a flintlock is a <a href="Skills.php?Name=Craft">Craft</a> (small arms) check with a Difficulty of 10. It is a full-round action to reload.|
